timestamp,x,y,z,qx,qy,qz,qw,velocity_x,velocity_y,velocity_z,speed,roll,pitch,yaw
0.0,1.447919,0.02990673,0.5486739,-0.026748127905389548,-0.7371499422747648,0.005839626542706583,0.6751743471279915,28.94222,0.5983437,10.96657,30.95603,-1.8097495709341338,-2.563618763773515,-95.06577873764236
5000000.0,1.4482089999999999,0.0299532225,0.548713475,-0.02653984117249435,-0.7368884725944864,0.00592737815805198,0.6754671583253143,21.71353869,0.44940189475000003,8.22645045075,23.224092284999998,-1.7843229297341792,-2.55562118282516,-95.02008773345108
10000000.0,1.448499,0.029999715,0.54875305,-0.026331548993928946,-0.7366268517131674,0.006015128557167544,0.6757598309245441,14.48485738,0.3004600895,5.486330901500001,15.492154569999999,-1.7589028390289274,-2.5476033488130674,-94.97440057099826
15000000.0,1.448789,0.030046207499999998,0.548792625,-0.026123251412432498,-0.7363650796844899,0.0061028777220479,0.6760523648656275,7.256176069999999,0.15151828425000002,2.7462113522500005,7.7602168549999995,-1.733489314263457,-2.539565268539758,-94.92871725813517
20000000.0,1.449079,0.0300927,0.5488322,-0.02591494847074528,-0.736103156562166,0.006190625634687931,0.6763447600885403,0.02749476,0.002576479,0.006091803,0.02827914,-1.7080823708694124,-2.5315069488227633,-94.88303780269602
25000000.0,1.4492795,0.03005782,0.5488571,-0.026049212715479466,-0.7360319190707193,0.006138847052302162,0.6764175982208375,0.02224104,-0.0005488874999999998,0.005442008,0.023153930000000003,-1.7231866195008303,-2.537718685927409,-94.87179161448472
30000000.0,1.44948,0.03002294,0.548882,-0.02618347615039359,-0.7359606586974515,0.006087068279071415,0.6764904153246084,0.01698732,-0.003674254,0.004792213,0.01802872,-1.738289720062844,-2.5439333845106384,-94.86054701169324
35000000.0,1.449579,0.0300072075,0.5488664249999999,-0.02631262151816856,-0.7359181282601842,0.006050524408253736,0.6765319989485005,0.019142265,-0.00262753105,0.00488988975,0.020054385,-1.751886248670594,-2.5509656670148018,-94.85414769088501
40000000.0,1.449678,0.029991475,0.54885085,-0.026431140146852796,-0.7359352893334914,0.006045616758768233,0.6765087547564879,0.02129721,-0.0015808081,0.0049875665,0.02208005,-1.7623567272737202,-2.559690106994103,-94.85780812922468
45000000.0,1.449777,0.0299757425,0.5488352750000001,-0.026549658381566466,-0.735952439437282,0.006040709019169512,0.6764855004807433,0.023452155000000002,-0.00053408515,0.00508524325,0.024105715,-1.7728278351854156,-2.5684138785484394,-94.86147018840737
50000000.0,1.449876,0.02996001,0.5488197,-0.026668176220543,-0.7359695785712999,0.006035801189530729,0.6764622361216136,0.0256071,0.0005126378,0.00518292,0.02613138,-1.7832995728558945,-2.5771369813462703,-94.86513386851175
55000000.0,1.449967,0.029977936666666666,0.5488495,-0.02677229727520952,-0.7359707578633743,0.006048027878774815,0.6764567310829243,0.02410671,-0.0007792931333333333,0.0027478129999999996,0.02458003,-1.7911649575620794,-2.5862324278851134,-94.86600919019781
60000000.0,1.4500579999999998,0.02999586333333333,0.5488793000000001,-0.026861364330508827,-0.7359552521991429,0.0060781714632040865,0.6764697995464862,0.02260632,-0.0020712240666666665,0.0003127059999999994,0.02302868,-1.7963042644894631,-2.595717883805158,-94.86396818144505
65000000.0,1.450149,0.03001379,0.5489091,-0.026950431137265658,-0.7359397397252752,0.006108314991393336,0.6764828617508175,0.02110593,-0.003363155,-0.002122401,0.02147733,-1.8014432718130742,-2.605203522568599,-94.86192800905899
70000000.0,1.450254,0.029942154999999998,0.5489645750000001,-0.027000280724325323,-0.7359540885429563,0.006145684025567214,0.6764649251554526,0.0228871425,-0.004466348,0.0021567792500000005,0.0243324725,-1.8028195131469436,-2.612181087549005,-94.86469610860506
75000000.0,1.450359,0.029870519999999998,0.54902005,-0.027037927195839712,-0.735977727693545,0.006185301378261164,0.6764373414285013,0.024668355,-0.005569541000000001,0.006435959500000001,0.027187615,-1.80302537549213,-2.618378176859693,-94.86896025553959
80000000.0,1.450464,0.029798885,0.549075525,-0.027075573550916266,-0.7360013636746727,0.006224918704318344,0.6764097547884977,0.0264495675,-0.0066727340000000005,0.010715139750000002,0.0300427575,-1.8032317005490426,-2.6245752508481477,-94.87322444588008
85000000.0,1.450569,0.02972725,0.549131,-0.027113219789392875,-0.7360249964862381,0.006264536003568143,0.6763821652355607,0.02823078,-0.007775927,0.01499432,0.0328979,-1.8034384883281132,-2.630772309479816,-94.87748867972685
90000000.0,1.450683,0.029724275,0.54919005,-0.027044986787172334,-0.7360071031028541,0.0063543023195740496,0.676403530234621,0.023082275,-0.00432148675,0.0102405995,0.02583614,-1.790638548997446,-2.6331104708039947,-94.8740399420702
95000000.0,1.450797,0.0297213,0.5492491,-0.026958669613264066,-0.735982104825212,0.006452633763454748,0.6764332450635824,0.01793377,-0.0008670465,0.005486879,0.01877438,-1.7756169233354913,-2.634788393434579,-94.86927344364788
100000000.0,1.4508699999999999,0.02977085,0.54923365,-0.02687999457276138,-0.7359588864814026,0.006546792845960907,0.6764607326403023,0.0190293425,0.0006224546249999998,0.00283265175,0.0199450925,-1.761572108913591,-2.636700410778783,-94.86485866432278
105000000.0,1.450943,0.0298204,0.5492182000000001,-0.026889737915780688,-0.7359564118445282,0.006592682663307854,0.6764625920145539,0.020124915,0.0021119557499999996,0.00017842449999999968,0.021115805,-1.7588299071561455,-2.6413345599834908,-94.86451781025814
