MAE_pos,MAE_rot,RMSE_pos,RMSE_rot,LAT,hidden_dim,epochs,batch_size,dropout,layers,model,seq_length_input,lr,lr_reducing,weight_decay,lr_epochs,patience,delta,lr_multiplicator
0.015502383408520833,2.2210184852185426,0.021057398831324663,9.824797351875869,0.1,512,1000,128,0.0,1,lstm1,20,0.0001,True,1e-12,30,7,0.005,0.5
0.41738115132706194,12.515842765919176,0.5705655033496679,22.73442947337792,0.1,256,1000,128,0.3,8,lstm1,20,0.0008,True,1e-12,30,7,0.005,0.3
0.016089714184692662,1.999814534596775,0.02140888990678239,9.320059859643713,0.1,256,1000,128,0.0,1,lstm1,20,0.0003,True,1e-12,30,7,0.005,0.5
