MSE_pos,MSE_rot,RMSE_pos,RMSE_rot,LAT,hidden_dim,epochs,batch_size,dropout,layers
0.12130270385742188,3.7894976677364847,0.20693017542362213,9.381647956344354,0.1,16,1000,1024,0.0,1
0.25599434407552085,9.360666579513353,0.3483221232891083,13.115515583088845,0.1,8,1000,8192,0.0,1
0.1296150105794271,4.4790470153013615,0.1757120043039322,9.867066798460538,0.1,24,1000,1024,0.0,1
0.07699254353841146,3.2816246480388163,0.1478937715291977,9.345512614321782,0.1,32,1000,8192,0.0,1
0.05950975036621094,2.6817341939995742,0.12835197150707245,9.209026625837014,0.1,40,1000,8192,0.0,1
0.14991520182291668,5.983922014791329,0.20916220545768738,10.552737534838707,0.1,64,1000,1024,0.0,1
0.08125871785481771,3.313798176064578,0.11918850988149643,9.318654819652266,0.1,16,1000,2048,0.0,1
0.36189506022135415,9.34076630855649,0.4570935070514679,13.700421509560245,0.1,200,700,64,0.0,1
0.20291243489583333,6.724220673306187,0.25340962409973145,13.145076092700853,0.1,200,700,512,0.0,1
0.08038928731282552,3.2825681452534674,0.14407050609588623,9.344608445341462,0.1,32,1000,2048,0.0,1
0.14145808919270833,6.252079386490166,0.22668957710266113,11.771943845571082,0.1,200,700,256,0.0,1
0.255697509765625,9.050799977845102,0.312301903963089,15.290002633252762,0.1,200,300,64,0.0,1
0.46653963216145833,10.628222897571716,0.642010509967804,15.861590917747328,0.1,200,100,64,0.0,1
0.1866314493815104,7.252942212629033,0.23216530680656433,11.973734590801381,0.1,200,900,256,0.0,1
0.06775430297851562,2.7968857692403613,0.13733898103237152,9.076626949117593,0.1,48,1000,8192,0.0,1
0.14553169759114584,7.235009090945042,0.19389775395393372,15.898798126898289,0.1,200,500,128,0.0,1
0.1987166544596354,8.268433859901904,0.23827232420444489,14.345439959964533,0.1,200,300,256,0.0,1
0.09715805053710938,4.414216367945189,0.12533681094646454,9.902417320100813,0.1,8,1000,2048,0.0,1
0.3007149658203125,8.603991667721697,0.3636404573917389,14.404263594479,0.1,200,900,64,0.0,1
0.190796142578125,6.987749059634287,0.24973154067993164,11.352118435358571,0.1,200,300,512,0.0,1
0.08010563151041666,2.95190065048797,0.14318175613880157,9.304909408297496,0.1,40,1000,2048,0.0,1
0.4286525472005208,9.280249897010435,0.5108725428581238,13.582062623327515,0.1,200,100,128,0.0,1
0.04571000162760417,2.543588871270733,0.10528270155191422,9.09738390285728,0.1,64,1000,8192,0.0,1
0.08328590393066407,3.5266211961708964,0.16360770165920258,9.519244573827832,0.1,56,1000,2048,0.0,1
0.10527562459309896,2.9330428470768983,0.16101714968681335,9.23962863044422,0.1,24,1000,2048,0.0,1
0.3007989908854167,8.941422923993768,0.37842339277267456,12.8086470563127,0.1,200,500,64,0.0,1
0.08347500101725261,4.733982106703951,0.15562494099140167,9.780677579322969,0.1,40,1000,1024,0.0,1
0.13182271321614583,5.430606668536066,0.21010620892047882,10.375185405986498,0.1,16,1000,8192,0.0,1
0.4041495768229167,8.749592268126424,0.48045381903648376,12.909392021216737,0.1,200,100,512,0.0,1
0.12353848266601562,4.652255108008138,0.1806430220603943,10.248568633799406,0.1,200,500,256,0.0,1
0.10513863118489583,4.381476700816498,0.16314852237701416,9.674813634839275,0.1,32,1000,1024,0.0,1
0.10526609293619792,3.86749456202406,0.16143262386322021,9.573363322961654,0.1,64,1000,2048,0.0,1
0.41657657877604165,8.033507784934242,0.51467365026474,12.128298102451526,0.1,200,100,256,0.0,1
0.18396248372395832,7.806322644797214,0.22613094747066498,11.708327815668035,0.1,48,1000,1024,0.0,1
0.08283061218261718,3.367168241250424,0.1582716703414917,9.28589731805576,0.1,24,1000,8192,0.0,1
0.16094310506184895,4.505747299860312,0.19885128736495972,9.543688939029497,0.1,8,1000,1024,0.0,1
0.06085965474446615,2.7387818373085877,0.12534719705581665,9.151353688523455,0.1,56,1000,8192,0.0,1
0.2031782023111979,8.909803080236218,0.24940107762813568,13.10117356613442,0.1,200,300,128,0.0,1
0.10508580525716146,4.438735237301797,0.19703339040279388,9.999852942007774,0.1,56,1000,1024,0.0,1
0.21825528971354166,6.301149447370258,0.30443206429481506,14.443566316717382,0.1,200,700,128,0.0,1
0.18084488932291667,5.0069647510090025,0.2404261827468872,10.527953109838714,0.1,200,500,512,0.0,1
0.17764798990885416,6.338481843392483,0.23198845982551575,11.516713597437693,0.1,200,900,128,0.0,1
0.21261680094401042,6.04230665204864,0.2749505043029785,13.692458793524207,0.1,400,700,128,0.0,1
0.2939592692057292,4.562677106708358,0.3333345055580139,9.758171126305088,0.1,200,100,1024,0.0,1
0.17595137532552083,6.527411401487503,0.2191399484872818,13.400004424079926,0.1,400,900,128,0.0,1
0.045356302897135416,2.23956298538561,0.06827838718891144,9.045875781347899,0.1,400,700,8192,0.0,1
0.04713824462890625,2.4258690944645642,0.07072965800762177,9.047018031377462,0.1,600,300,4096,0.0,1
