MSE_pos,MSE_rot,RMSE_pos,RMSE_rot,LAT,hidden_dim,epochs,batch_size,dropout,layers
0.09361641438802083,3.41418623644344,0.1545519232749939,11.972996259778883,0.1,32,1000,2048,0.0,1
0.10873838297526042,5.371013327582176,0.20360754430294037,12.366563287886654,0.1,40,1000,1024,0.0,1
0.08758231608072917,3.7366908189526544,0.15937577188014984,11.90627377868131,0.1,40,1000,2048,0.0,1
0.14427391560872396,5.034778787141922,0.1885424554347992,12.12832828295614,0.1,32,1000,1024,0.0,1
0.0829038798014323,3.023518920007629,0.12034937739372253,11.819081699538096,0.1,200,800,4096,0.0,1
0.11950972493489584,4.926643845103913,0.15693631768226624,13.009098277494559,0.1,400,1000,1024,0.0,1
0.05309653727213542,3.3813093394883,0.1072598323225975,11.727605889731368,0.1,48,1000,8192,0.0,1
0.08807315063476563,4.151877607459594,0.14207090437412262,12.082670018224642,0.1,400,600,1024,0.0,1
0.06018340047200521,3.5315427077871164,0.08740976452827454,11.980674662441213,0.1,200,1000,8192,0.0,1
0.0794148203531901,2.8824006494166854,0.11037814617156982,11.727411110628601,0.1,200,800,8192,0.0,1
0.14466769409179686,5.288680762220973,0.1935729682445526,12.38461667003392,0.1,200,800,1024,0.0,1
0.15258509318033855,6.352322804295526,0.202050119638443,12.84803889913764,0.1,200,600,1024,0.0,1
0.06798245239257812,3.281900805690143,0.1515207588672638,11.88199206583017,0.1,64,1000,2048,0.0,1
0.09678964233398438,3.764777640941935,0.14406833052635193,12.810177100808763,0.1,400,1000,2048,0.0,1
0.04760033162434896,3.3380828861830865,0.1035410687327385,11.912204355124782,0.1,64,1000,8192,0.0,1
0.05027534993489583,2.9830824918222847,0.09691249579191208,11.792822446683866,0.1,200,600,8192,0.0,1
0.053447784423828124,3.1437455429923946,0.10838164389133453,11.649214458997077,0.1,40,1000,8192,0.0,1
0.07420802307128906,2.9229891325898083,0.10220690816640854,11.787883026490581,0.1,400,800,4096,0.0,1
0.1449833984375,3.9799323976938457,0.2145208716392517,12.180004318865384,0.1,56,1000,1024,0.0,1
0.09088704427083333,3.6060782650236156,0.14058923721313477,11.849020728632498,0.1,200,1000,2048,0.0,1
0.091486328125,3.5285284666534062,0.16340085864067078,11.869567615086964,0.1,200,800,2048,0.0,1
0.09773248291015625,3.0746407371668996,0.12330621480941772,11.764680315296895,0.1,200,600,4096,0.0,1
0.11978245035807292,4.776795321611153,0.1832764893770218,12.114409665630676,0.1,200,1000,1024,0.0,1
0.12490663655598959,5.146344807578064,0.20385603606700897,12.327696295200749,0.1,64,1000,1024,0.0,1
0.11839927164713542,5.959898556592952,0.2129821479320526,12.620658643318832,0.1,48,1000,1024,0.0,1
0.05359638468424479,3.6027540769727433,0.1334797441959381,11.802562775568738,0.1,32,1000,8192,0.0,1
0.051180308024088544,2.9504984791460123,0.10437033325433731,11.726576668542743,0.1,56,1000,8192,0.0,1
0.07239537048339843,2.9860686727660064,0.10556494444608688,11.781137172762111,0.1,400,600,4096,0.0,1
0.11422186279296875,3.3413437803738537,0.1670481115579605,11.781170351930308,0.1,400,800,2048,0.0,1
0.103724853515625,3.539623932131786,0.14479787647724152,11.89983257490058,0.1,48,1000,2048,0.0,1
0.12776529947916668,3.7923186489636413,0.16714900732040405,11.952514393589576,0.1,600,600,2048,0.0,1
0.09885943603515625,4.530121279188164,0.14385321736335754,12.131890215668077,0.1,1000,800,2048,0.0,1
0.04503273518880208,3.111486075030403,0.06987252086400986,11.880117539007337,0.1,400,1000,8192,0.0,1
0.1664754638671875,5.28610317386793,0.20584051311016083,12.4708279328231,0.1,600,600,1024,0.0,1
0.05855877176920573,3.448261616359302,0.0767269879579544,11.962418577812647,0.1,600,600,4096,0.0,1
0.07876809692382812,3.5274635425078786,0.15476007759571075,11.996703219643619,0.1,56,1000,2048,0.0,1
0.059715240478515626,3.31570720429362,0.07814480364322662,12.046573904800354,0.1,600,1000,8192,0.0,1
0.1569733174641927,3.724723427210827,0.21687687933444977,12.350352183780869,0.1,1000,800,1024,0.0,1
0.04904564412434896,3.387494913843319,0.06363040208816528,12.031749322910763,0.1,1000,1000,8192,0.0,1
0.10794217936197917,3.861840158903632,0.14281661808490753,12.607572493066344,0.1,600,1000,2048,0.0,1
0.04374621073404948,2.605065198598638,0.06789672374725342,11.657705106334392,0.1,400,600,8192,0.0,1
0.13402950032552083,3.538649890171616,0.16042602062225342,11.915017602635853,0.1,600,800,2048,0.0,1
0.02881280008951823,2.7325080216450144,0.045475319027900696,11.760848693169581,0.1,800,600,8192,0.0,1
0.18791597493489584,5.103397664337142,0.26603570580482483,12.216932233803838,0.1,100,800,2048,0.1,2
0.12479107666015625,5.36128094380153,0.15632836520671844,14.72702056983311,0.1,600,1000,1024,0.0,1
0.09859983317057291,3.2779670831773493,0.10731503367424011,11.854004949466944,0.1,1000,600,4096,0.0,1
0.0373605702718099,2.6739015969604836,0.05426575988531113,11.738017621498168,0.1,1000,600,8192,0.0,1
0.34487906901041665,9.103431228282597,0.40852677822113037,17.727885896226322,0.1,100,800,2048,0.15,4
