MSE_pos,MSE_rot,RMSE_pos,RMSE_rot,LAT,hidden_dim,epochs,batch_size,dropout,layers
0.06659126790364583,3.543413604263411,0.13006898760795593,11.651373865708239,0.1,32,1000,8192,0.0,1
0.12630586751302084,4.881238630138195,0.19772221148014069,12.208852010803405,0.1,48,1000,1024,0.0,1
0.16983958943684896,5.812045080089532,0.23513293266296387,12.693583775191353,0.1,56,1000,1024,0.0,1
0.08052128601074218,4.198259082810145,0.15799440443515778,12.004565535483998,0.1,40,1000,2048,0.0,1
0.09275301106770834,5.3874599481156045,0.15791404247283936,12.522967385297216,0.1,40,1000,1024,0.0,1
0.08712265014648438,3.350749545135892,0.16956734657287598,11.929366791180172,0.1,56,1000,2048,0.0,1
0.056404713948567706,3.5897783382017123,0.12912338972091675,11.919090724281352,0.1,40,1000,8192,0.0,1
0.1255076904296875,5.108044224131176,0.18728986382484436,12.546023193248278,0.1,200,1000,1024,0.0,1
0.1372858683268229,4.049834904250572,0.1880650669336319,12.273080061947164,0.1,400,1000,1024,0.0,1
0.07490673828125,3.5918341395363473,0.12871253490447998,12.181053142807087,0.1,64,1000,2048,0.0,1
0.07611507161458334,3.53834221813941,0.1359153836965561,11.777611910573722,0.1,200,600,2048,0.0,1
0.1246580810546875,4.368426899139733,0.15096141397953033,12.045798078096805,0.1,400,600,2048,0.0,1
0.07238143920898438,3.6004363004072313,0.13988232612609863,12.050381192626347,0.1,32,1000,2048,0.0,1
0.1130099589029948,7.453369674413595,0.196508526802063,13.206203241430849,0.1,64,1000,1024,0.0,1
0.10603593953450521,5.642410344844647,0.20850396156311035,12.610301042711061,0.1,32,1000,1024,0.0,1
0.1558766886393229,3.494491055978753,0.2071969211101532,12.06002130960354,0.1,400,800,2048,0.0,1
0.10511611938476563,4.1750451625297815,0.1550445258617401,12.119573151606154,0.1,200,1000,2048,0.0,1
0.1127691650390625,4.031951485453561,0.17481635510921478,12.20560198326449,0.1,400,1000,2048,0.0,1
0.04295649210611979,2.9990523163667415,0.07620270550251007,11.784413585956157,0.1,200,800,8192,0.0,1
0.10726528930664063,3.2013231163455904,0.17090736329555511,11.76627674327644,0.1,200,800,2048,0.0,1
0.05208375040690104,2.5836406392776006,0.09274358302354813,11.615279652402963,0.1,200,600,8192,0.0,1
0.168877197265625,4.880817652148447,0.224818617105484,12.498403644250548,0.1,200,800,1024,0.0,1
0.046408437093098956,3.2990391321460173,0.08498115092515945,11.919638674904064,0.1,200,1000,8192,0.0,1
0.13200726318359374,6.016391283711909,0.1857459396123886,12.586192035083299,0.1,200,600,1024,0.0,1
0.05728448486328125,2.9357778947520203,0.09149608761072159,11.77363716275531,0.1,200,800,4096,0.0,1
0.09412880452473958,3.054238143229229,0.12776006758213043,11.78815401781911,0.1,200,600,4096,0.0,1
0.04851783243815104,2.673618375411246,0.1054060161113739,11.721001336543097,0.1,56,1000,8192,0.0,1
0.050760513305664064,3.436853669850463,0.11148262023925781,11.983135253916238,0.1,64,1000,8192,0.0,1
0.048783650716145835,3.315365305758431,0.10869476944208145,11.950139311129885,0.1,48,1000,8192,0.0,1
0.0786501007080078,3.2599405705454156,0.11579838395118713,11.896770846699686,0.1,200,1000,4096,0.0,1
0.061252268473307295,3.730760973574411,0.12514905631542206,11.928102116241178,0.1,48,1000,2048,0.0,1
0.1344966023763021,5.005112691102339,0.1686931848526001,12.24798252798167,0.1,400,600,1024,0.0,1
0.09446509806315104,4.693622538890044,0.13772951066493988,12.307998955234437,0.1,400,800,1024,0.0,1
0.04053821309407552,3.023319094087356,0.05107252672314644,11.888153332376703,0.1,1000,800,8192,0.0,1
0.24730092366536457,5.981559235584198,0.29370492696762085,12.876181388675912,0.1,500,800,4096,0.1,3
0.04800060017903646,3.3655135744669957,0.06695161759853363,11.961263225559657,0.1,600,1000,4096,0.0,1
0.09693630981445313,4.198937580074528,0.11836045235395432,11.928477070048718,0.1,500,800,2048,0.1,2
0.1824668986002604,7.463982812546408,0.263126939535141,14.796083272367062,0.1,100,800,2048,0.1,4
0.10483405558268229,3.4180942745086864,0.13865087926387787,11.887236458467955,0.1,800,600,2048,0.0,1
0.05200444539388021,3.0650904407637443,0.08208035677671432,11.837257578380656,0.1,400,800,4096,0.0,1
0.10144138590494792,3.5555811229643925,0.13181865215301514,11.818771952596073,0.1,600,800,2048,0.0,1
0.04069513448079427,3.0669243595589513,0.062083423137664795,11.923114031717464,0.1,800,1000,4096,0.0,1
0.05028061930338542,3.0069677298848423,0.06434054672718048,11.805623152494233,0.1,600,600,8192,0.0,1
0.08639361572265625,3.6158171715378216,0.11557561904191971,11.990395830649957,0.1,800,1000,2048,0.0,1
