MSE_pos,MSE_rot,RMSE_pos,RMSE_rot,LAT,hidden_dim,epochs,batch_size,dropout,layers
0.06745291879601348,4.1523227854712434,0.1537926346063614,8.623932327740881,0.1,32,1000,8192,0.0,1
0.04125164545070358,2.2627521156037513,0.07955949008464813,7.735544558591366,0.1,400,800,8192,0.0,1
0.20713718704312867,5.465434680017055,0.26302585005760193,9.291335726376074,0.1,56,1000,1024,0.0,1
0.14653773104636592,3.3031178693370284,0.21251966059207916,8.362551694680489,0.1,200,1000,2048,0.0,1
0.19754580543154762,9.983653300486107,0.24348324537277222,13.074766604073588,0.1,800,600,1024,0.0,1
0.09413823866306391,3.7646883553821326,0.1459900438785553,8.239309487090512,0.1,800,1000,2048,0.0,1
0.06342629645402569,2.4473548646757113,0.09099222719669342,6.643735476981169,0.1,800,1000,4096,0.0,1
0.10954165606072473,3.340993381613857,0.17278440296649933,8.809120889245502,0.1,56,1000,2048,0.0,1
0.13763972308701442,4.010693768355009,0.17404669523239136,7.7509948232472015,0.1,1000,600,2048,0.0,1
0.14035032649984336,2.750601770813564,0.1927434206008911,6.4108997245235555,0.1,800,600,2048,0.0,1
0.0858382120666249,3.527560873109395,0.1440059095621109,7.9638647192130705,0.1,400,1000,2048,0.0,1
0.06267463091322055,3.1083390185129782,0.09829790890216827,8.108146257502973,0.1,400,600,4096,0.0,1
0.07599138022465017,3.509724761008092,0.13942158222198486,8.279778497400658,0.1,48,1000,8192,0.0,1
0.1489427099650167,4.004686163712628,0.19234976172447205,7.443676742921599,0.1,400,800,1024,0.0,1
0.12753112843958855,5.188056648612299,0.1884160041809082,9.093858126934348,0.1,200,1000,1024,0.0,1
0.14234371328712406,4.803474286568214,0.2131844013929367,8.087608787064932,0.1,32,1000,1024,0.0,1
0.2622423164029866,13.745351008439066,0.3035615384578705,18.943471528929685,0.1,1000,600,1024,0.0,1
0.032814845544851715,2.1759225019988855,0.05819946154952049,7.596800421654129,0.1,800,1000,8192,0.0,1
0.036601115826676064,2.363841486834182,0.05528876185417175,7.7662753165999865,0.1,800,600,8192,0.0,1
0.12342068346321533,4.5606807394753845,0.19788700342178345,8.993462528446237,0.1,200,800,1024,0.0,1
0.09813046817891082,3.3182982920618156,0.15400786697864532,7.118907706541642,0.1,600,800,2048,0.0,1
0.04151313545909043,3.373214440110961,0.07377658784389496,6.763470210427589,0.1,800,800,4096,0.0,1
0.04575301371919382,2.5963542219411053,0.10138784348964691,7.547584716715394,0.1,200,800,8192,0.0,1
0.11344805903104115,3.8314656131566407,0.16345973312854767,7.821706708308487,0.1,600,1000,2048,0.0,1
0.14001349606111632,4.621013047982784,0.21569861471652985,9.219894468220927,0.1,40,1000,1024,0.0,1
0.10537424493851817,2.946190987224582,0.17228569090366364,7.817715294611288,0.1,200,600,2048,0.0,1
0.05288073189973632,2.3403727319450094,0.10718202590942383,6.994822732757345,0.1,200,600,8192,0.0,1
0.10568817062186717,3.476851833499214,0.17105980217456818,7.422811620674951,0.1,400,600,2048,0.0,1
0.09564996271603488,3.24264541147431,0.1266796588897705,7.789033672752553,0.1,200,1000,4096,0.0,1
0.0794256862044434,3.230922485609248,0.10973601043224335,7.2768264923873485,0.1,600,1000,4096,0.0,1
0.08468838518823099,2.8303951391286355,0.13922922313213348,7.277039849102997,0.1,48,1000,2048,0.0,1
0.04416733361724624,2.4480430615043867,0.06715957820415497,7.469808628410089,0.1,600,800,8192,0.0,1
0.07175252176665622,2.9957822149820887,0.08570793271064758,6.446563655774455,0.1,600,600,4096,0.0,1
0.07556723942832341,4.095342171130243,0.09789249300956726,8.734741022277902,0.1,600,800,4096,0.0,1
0.1760315706257832,8.095986951153758,0.23339001834392548,11.367177350034838,0.1,64,1000,1024,0.0,1
0.03422267980742873,2.429075894866089,0.051854632794857025,7.407749529876422,0.1,800,800,8192,0.0,1
