5.83397818,0.00540655,5.23164606,0.00779506,-0.82438415,0.01430913,0.56579614
5.83320618,0.00535936,5.23171234,0.00779604,-0.82452285,0.01423479,0.56559581
5.83243465,0.00531217,5.23177862,0.00779701,-0.82466161,0.01416045,0.56539541
5.83166313,0.00526498,5.2318449,0.00779798,-0.82480025,0.0140861,0.56519496
5.8306241,0.00512971,5.23194122,0.0078607,-0.82497519,0.01406724,0.56493914
5.82958508,0.00499445,5.23203754,0.00794668,-0.82516378,0.01406928,0.56466246
5.828547,0.00485918,5.23213387,0.00803267,-0.82535225,0.01407132,0.56438565
5.82739305,0.00476699,5.23228979,0.00812945,-0.82556427,0.0141112,0.56407315
5.82623959,0.0046748,5.23244619,0.00825071,-0.82582951,0.01423678,0.56367981
5.82508564,0.00458261,5.23260212,0.00837197,-0.82609451,0.01436237,0.5632863
5.8241415,0.00453417,5.23272657,0.00850918,-0.82635432,0.01449082,0.56289977
5.82319784,0.00448574,5.23285151,0.0087265,-0.82658845,0.01463368,0.56254882
5.82225466,0.0044373,5.23297644,0.00894382,-0.82682246,0.01477653,0.56219774
5.82131052,0.00438886,5.23310089,0.00916113,-0.82705617,0.01491938,0.56184655
5.81996107,0.00439363,5.23329496,0.00937427,-0.82730395,0.01501904,0.56147557
5.81861115,0.00439841,5.23348904,0.00958642,-0.82755482,0.01510831,0.56109971
5.81726122,0.00440318,5.23368311,0.00979856,-0.82780546,0.01519758,0.56072372
5.81585169,0.00425614,5.23388004,0.00993624,-0.8280465,0.01524121,0.56036413
5.81444073,0.00410909,5.23407698,0.01001206,-0.8282795,0.01524693,0.56001818
5.8130312,0.00396204,5.23427391,0.01008787,-0.82851237,0.01525264,0.55967212
5.81191826,0.00389735,5.23443842,0.01018243,-0.8287496,0.01527053,0.55931854
5.81080532,0.00383266,5.23460293,0.01035892,-0.82900649,0.01534164,0.55893248
5.80969286,0.00376797,5.23476744,0.0105354,-0.82926321,0.01541274,0.5585463
5.80857992,0.00370328,5.23493195,0.01071188,-0.82951969,0.01548384,0.55816001
5.80704308,0.00355058,5.23518419,0.01078819,-0.82979107,0.01545032,0.55775601
5.80550575,0.00339788,5.23543596,0.01084629,-0.83006495,0.01539776,0.55734861
5.80396843,0.00324518,5.23568821,0.0109044,-0.83033854,0.01534521,0.55694109
5.80273151,0.00307828,5.23589754,0.01097019,-0.83059686,0.01535612,0.55655426
5.8014946,0.00291138,5.23610687,0.01104238,-0.83084232,0.01541977,0.55618459
5.80025721,0.00274448,5.23631668,0.01111457,-0.83108759,0.01548341,0.5558148
5.79901934,0.00257759,5.23652601,0.01118675,-0.83133274,0.01554705,0.5554449
