MAE_pos,MAE_rot,RMSE_pos,RMSE_rot,LAT,hidden_dim,epochs,batch_size,dropout,layers,model,seq_length_input,lr,lr_reducing,weight_decay,lr_epochs,patience,delta,lr_multiplicator
0.01808258290947051,2.038825325275118,0.02737684547544224,9.69994708227797,0.1,512,500,256,0,1,gru31,20,0.0001,True,1e-12,80,7,0.005,0.5
0.0191010162051612,2.157043261492536,0.02880136925232176,9.531113409388889,0.1,512,500,256,0,1,gru31,20,0.0001,True,1e-12,60,7,0.005,0.5
0.020158299080339063,2.0840220192462913,0.02520370997191155,9.265369874088776,0.1,512,500,512,0,1,gru31,20,0.0001,True,1e-12,70,7,0.005,0.7
0.01696079997065825,2.274553916959953,0.023868373247773803,9.184928758112758,0.1,512,500,1024,0,1,gru31,20,0.0001,True,1e-12,80,7,0.005,0.4
0.025446663094368688,2.3689805628116103,0.0401895006858773,9.703927433581832,0.1,512,500,256,0,1,gru31,20,0.0002,True,1e-12,80,7,0.005,0.6
0.01407909488850408,1.9163144073816496,0.018343051091042173,9.114689574779934,0.1,512,500,512,0,1,gru31,20,0.0001,True,1e-12,40,7,0.005,0.7
0.025048406688123172,1.9752593453920582,0.041030026501204055,9.036940533475912,0.1,512,500,256,0,1,gru31,20,0.0002,True,1e-12,70,7,0.005,0.3
0.01901130762379704,2.698483148173527,0.0291210858403226,9.257691158003139,0.1,512,500,1024,0,1,gru31,20,0.0001,True,1e-12,50,7,0.005,0.5
0.019425095520364585,1.9924473574843422,0.02693897840563124,9.088026393939021,0.1,512,500,256,0,1,gru31,20,0.0001,True,1e-12,60,7,0.005,0.3
0.017506387223710475,1.9299582423679098,0.023287497400799485,9.12818622780653,0.1,512,500,512,0,1,gru31,20,0.0002,True,1e-12,40,7,0.005,0.5
0.03609773155472371,2.483402808694777,0.05202765480491369,10.468364396000897,0.1,512,500,256,0,1,gru31,20,0.0002,True,1e-12,80,7,0.005,0.7
0.01574454874075379,1.9376155164907767,0.020555225715348662,9.104561063190241,0.1,512,500,512,0,1,gru31,20,0.0001,True,1e-12,80,7,0.005,0.3
0.01988722579923838,2.712555165707762,0.02961886925496871,9.25854692966506,0.1,512,500,1024,0,1,gru31,20,0.0001,True,1e-12,80,7,0.005,0.3
0.01543595056613275,1.8960341150873967,0.02041389779349478,9.114700269663414,0.1,512,500,512,0,1,gru31,20,0.0001,True,1e-12,60,7,0.005,0.7
0.020536787719520853,2.009949260596025,0.029611567235691874,9.916102583791673,0.1,512,500,512,0,1,gru31,20,0.0002,True,1e-12,80,7,0.005,0.6
0.018104235818921618,2.24546367845507,0.022900448396963587,9.044658053485382,0.1,512,500,512,0,1,gru31,20,0.0001,True,1e-12,80,7,0.005,0.7
0.023110405887712702,1.9556918780051722,0.03932514287901099,9.309024723207918,0.1,512,500,256,0,1,gru31,20,0.0002,True,1e-12,50,7,0.005,0.5
0.02148489766358719,2.3522535952667476,0.02804585233866991,9.149714186283704,0.1,512,500,512,0,1,gru31,20,0.0002,True,1e-12,40,7,0.005,0.3
0.015617883132183659,2.169788192173222,0.020173052647991373,9.163712451962132,0.1,512,500,1024,0,1,gru31,20,0.0001,True,1e-12,40,7,0.005,0.7
0.019656917359242288,2.4144487959382923,0.026784497602561047,9.169687865785908,0.1,512,500,1024,0,1,gru31,20,0.0002,True,1e-12,60,7,0.005,0.3
0.022242163233836532,2.0009615811759778,0.03722791993326384,9.336898592774519,0.1,512,500,256,0,1,gru31,20,0.0002,True,1e-12,40,7,0.005,0.5
0.014530211309601625,1.930187574336145,0.019677290503699603,9.144799819732281,0.1,512,500,512,0,1,gru31,20,0.0001,True,1e-12,70,7,0.005,0.6
0.015310004243892674,1.9083722880175933,0.020029596302828988,9.117260521385864,0.1,512,500,512,0,1,gru31,20,0.0001,True,1e-12,80,7,0.005,0.4
0.020221352674225933,2.0778618312488795,0.02669206840058893,9.107423047940102,0.1,512,500,512,0,1,gru31,20,0.0002,True,1e-12,50,7,0.005,0.3
0.015312941628221605,1.9314415705662444,0.021643861958570456,9.134824100532832,0.1,512,500,1024,0,1,gru31,20,0.0001,True,1e-12,80,7,0.005,0.6
0.014852511559624753,1.8638829973131632,0.021231360554797723,9.118787194619715,0.1,512,500,1024,0,1,gru31,20,0.0002,True,1e-12,50,7,0.005,0.6
0.021765713763859364,2.054367179532211,0.03493870331033804,9.53376084867579,0.1,512,500,256,0,1,gru31,20,0.0002,True,1e-12,60,7,0.005,0.6
