mae_euc,mae_ang,mae_geo,rmse_euc,rmse_ang,rmse_geo,LAT,epochs,hidden_dim,batch_size,model,seq_length_input,lr,lr_reducing,lr_epochs,lr_multiplicator,weight_decay
0.037081561921323315,28.613035791577786,4.124974796661471,0.04799092003548131,31.17627338012451,10.619716673089004,0.1,500,512,512,gru-bi1,20,0.0001,True,70,0.5,3e-12
0.06363272914449261,17.93270264831139,3.033019584743308,0.07166970713761908,22.7911116304517,9.388117233976693,0.1,500,256,128,gru-bi1,20,0.0001,True,50,0.5,8e-13
0.049832364703258844,23.388549335976766,3.534065021205975,0.05870993212555348,27.28402242353129,9.81248221741085,0.1,500,512,256,gru-bi1,20,0.0001,True,50,0.5,1e-12
0.03229043892671759,35.2893541699049,5.007527987549496,0.0429012303737076,37.38724367109192,10.809905309894496,0.1,500,2048,1024,gru-bi1,20,0.0001,True,50,0.5,1e-12
0.03878910556814183,19.870801249942197,3.12814556417304,0.04636350629883926,24.57434357673124,10.489101915598102,0.1,500,512,256,gru-bi1,20,0.0001,True,70,0.5,8e-13
0.051758482060428816,18.632263281181785,3.190494437430591,0.06214205353962222,23.414234114879157,9.790288701920156,0.1,500,256,128,gru-bi1,20,0.0001,True,70,0.5,8e-13
0.03555460917231382,32.25466904922041,4.465948383530852,0.044236489277783994,34.20783317700649,10.938019989193101,0.1,500,2048,1024,gru-bi1,20,0.0001,True,50,0.5,1e-12
0.06165630549624189,21.72451960796113,3.355658867243563,0.07170374344573822,26.556864778491875,9.536824152606194,0.1,500,256,128,gru-bi1,20,0.0001,True,50,0.5,1e-12
0.047603992784365196,27.60746638450203,4.165142362249067,0.06139252162776936,30.48886618328977,10.771569144509762,0.1,500,2048,1024,gru-bi1,20,0.0001,True,50,0.5,9e-13
0.03441270697231742,28.417537960829797,4.261017470988614,0.03956755299012365,31.667411487530973,10.573397798365221,0.1,500,1024,512,gru-bi1,20,0.0001,True,50,0.5,9e-13
0.06618917257628573,24.246203882459678,3.9149494116347787,0.07820302341714877,29.069145749470632,10.013943599975873,0.1,500,256,128,gru-bi1,20,0.0001,True,50,0.5,1e-12
0.030336690910169464,30.325511736400106,4.43354426528631,0.041961750276482544,32.638990530370705,10.74388758115927,0.1,500,2048,1024,gru-bi1,20,0.0001,True,50,0.5,2e-12
0.03295093120999081,31.983369764397096,4.648198153246197,0.04225720368797255,34.617599256477426,10.888092325872586,0.1,500,2048,1024,gru-bi1,20,0.0001,True,50,0.5,1e-12
0.03503846249924013,25.9869093630476,4.096997163213848,0.039830533281802326,29.535301438136766,10.517547417649485,0.1,500,1024,512,gru-bi1,20,0.0001,True,50,0.5,1e-12
