mae_euc,mae_ang,mae_geo,rmse_euc,rmse_ang,rmse_geo,LAT,epochs,hidden_dim,batch_size,model,seq_length_input,lr,lr_reducing,lr_epochs,lr_multiplicator,weight_decay
0.04707720657475255,13.968910035450934,2.592001578875833,0.23417117244195795,18.930225864995283,14.004500547933365,0.1,500,1024,1024,gru1,20,0.0001,True,50,0.5,1e-12
0.03409272654518711,11.59566534867231,1.995076353663564,0.10163655229179416,14.70216540723494,11.810601859991102,0.1,500,512,256,gru1,20,0.0001,True,50,0.5,1e-12
0.042836956557674326,14.686073374166062,2.058289249380063,0.059993590815517,19.330130543075533,9.327372004717638,0.1,500,256,512,gru1,20,0.0001,True,50,0.5,1e-12
0.0302650566800827,11.950105325643579,2.1004270762199138,0.08611024348415466,14.656242526595575,12.713542147278748,0.1,500,1024,512,gru1,20,0.0001,True,50,0.5,1e-12
0.040585367325891186,10.77341564262188,2.1728977894836845,0.12560961859779574,14.796520420769488,13.103503906874828,0.1,500,512,512,gru1,20,0.0001,True,50,0.5,1e-12
0.04280490103620867,11.660433612831671,2.0695446071135444,0.10015538021787897,14.699756758650727,12.402766199959636,0.1,500,256,256,gru1,20,0.0001,True,50,0.5,1e-12
0.028160339192273946,12.058439724518855,2.126328708979158,0.08301267702423151,17.540794414139295,12.617316559010776,0.1,500,2048,1024,gru1,20,0.0001,True,50,0.5,1e-12
0.033062357920650945,14.249180958828303,1.8724728732348654,0.04753983563788781,18.1085267549719,9.219755986358951,0.1,500,512,1024,gru1,20,0.0001,True,50,0.5,1e-12
0.029479886192318956,10.122883617866833,2.0103621411282933,0.060627522072734974,12.93695182560423,12.410761987035007,0.1,500,1024,256,gru1,20,0.0001,True,50,0.5,1e-12
0.036849085269969634,13.444812301753942,1.6969675863303735,0.053781732008952796,16.454972072341953,9.147013902589757,0.1,500,256,1024,gru1,20,0.0001,True,50,0.5,1e-12
