MAE_pos,MAE_rot,RMSE_pos,RMSE_rot,LAT,hidden_dim,epochs,batch_size,dropout,layers,model,seq_length_input,lr,lr_reducing,weight_decay,lr_epochs,patience,delta,lr_multiplicator
0.012834398627651272,2.132948695512103,0.014825959769089136,10.157589112578417,0.1,512,500,512,0.0,1,lstm3,20,0.0001,True,1e-12,70,7,0.005,0.5
0.018583718293650426,2.250570112189422,0.062425759098930673,11.173618582067732,0.1,512,500,256,0.0,1,lstm3,20,0.0001,True,2e-12,70,7,0.005,0.5
0.017302268860899504,2.6414385826537026,0.0413668545437623,13.375206090878716,0.1,256,500,128,0.0,1,lstm3,20,0.0001,True,5e-13,70,7,0.005,0.5
0.01760396114109866,2.4081417972636947,0.02881179934635254,10.193460737899313,0.1,256,500,128,0.0,1,lstm3,20,0.0001,True,2e-12,70,7,0.005,0.5
0.012256528323570876,1.932270607629945,0.014206144010969885,9.125268334343493,0.1,2048,500,1024,0.0,1,lstm3,20,0.0001,True,1e-12,50,7,0.005,0.5
0.01274863584770658,2.1729338418818314,0.015146030355864839,10.19363670793952,0.1,1024,1000,512,0.0,1,lstm3,20,0.0001,True,3e-12,50,7,0.005,0.5
0.019092230879218255,2.2300993788351318,0.06229898113745939,10.280964574949882,0.1,512,500,256,0.0,1,lstm3,20,0.0001,True,8e-13,70,7,0.005,0.5
0.012678974177926731,2.051363571053696,0.01456600855828113,9.303805413426495,0.1,1024,500,512,0.0,1,lstm3,20,0.0001,True,5e-13,50,7,0.005,0.5
0.01769203475321076,2.150720953344089,0.044587442829421974,10.73368581265394,0.1,512,500,256,0.0,1,lstm3,20,0.0001,True,5e-13,70,7,0.005,0.5
0.013826184644338472,2.1451521565325575,0.0169740363242991,9.833712386681615,0.1,512,500,512,0.0,1,lstm3,20,0.0001,True,5e-13,70,7,0.005,0.5
0.013491450363599921,2.0804161464431052,0.01600938830707675,9.712500065309051,0.1,512,500,512,0.0,1,lstm3,20,0.0001,True,9e-13,70,7,0.005,0.5
0.013499454666518617,2.2169501554167224,0.017200303274339267,9.914269565974344,0.1,512,500,512,0.0,1,lstm3,20,0.0001,True,2e-12,70,7,0.005,0.5
0.013210389589400351,2.2040312391124357,0.015557718856655375,10.254760567463533,0.1,512,500,512,0.0,1,lstm3,20,0.0001,True,8e-13,70,7,0.005,0.5
0.012992784330226203,2.0316314444850923,0.015203569647163528,9.281938633074478,0.1,1024,500,512,0.0,1,lstm3,20,0.0001,True,8e-13,50,7,0.005,0.5
0.016008704854549038,2.663862716241369,0.026538974940112207,12.986476398271872,0.1,256,500,128,0.0,1,lstm3,20,0.0001,True,3e-12,70,7,0.005,0.5
0.012426230814164744,2.0009828754088383,0.014282855534421449,9.313474181002851,0.1,1024,500,512,0.0,1,lstm3,20,0.0001,True,9e-13,50,7,0.005,0.5
0.01224384017343766,2.0863908825380104,0.01420629328627317,9.473010937763314,0.1,1024,1000,512,0.0,1,lstm3,20,0.0001,True,2e-12,50,7,0.005,0.5
0.013188109173828472,2.000679549868294,0.015276319137692498,9.209714120505161,0.1,1024,1000,512,0.0,1,lstm3,20,0.0001,True,8e-13,50,7,0.005,0.5
0.018146997336718523,2.4001911409737526,0.05729665590505532,12.660992061441327,0.1,512,500,256,0.0,1,lstm3,20,0.0001,True,1e-12,70,7,0.005,0.5
0.01550798407788241,2.6227312378741567,0.02892475594302184,12.76710114360579,0.1,256,500,128,0.0,1,lstm3,20,0.0001,True,1e-12,70,7,0.005,0.5
0.013070942943495908,2.0789686307941375,0.014935534069321374,9.385533834038444,0.1,1024,500,512,0.0,1,lstm3,20,0.0001,True,1e-12,50,7,0.005,0.5
0.012209223117130087,1.994793087830468,0.014052740688225585,9.125410228104165,0.1,2048,500,1024,0.0,1,lstm3,20,0.0001,True,1e-12,50,7,0.005,0.5
0.017725893062645107,2.334654595559375,0.045457381805827056,11.958250723193423,0.1,512,500,256,0.0,1,lstm3,20,0.0001,True,9e-13,70,7,0.005,0.5
0.012138031277824857,2.097558021282909,0.014015256466015905,9.174242587686436,0.1,2048,500,1024,0.0,1,lstm3,20,0.0001,True,8e-13,50,7,0.005,0.5
0.014736677712757546,1.9576378131840917,0.019398123150878445,9.75840867338647,0.1,512,500,256,0.0,1,lstm3,20,0.0001,True,3e-12,70,7,0.005,0.5
0.01225129781327708,2.02634270058409,0.014146151584395245,9.2725999306343,0.1,1024,500,512,0.0,1,lstm3,20,0.0001,True,3e-12,50,7,0.005,0.5
0.012625126547707087,2.0874230229119175,0.01457182835832165,9.607547406801531,0.1,1024,1000,512,0.0,1,lstm3,20,0.0001,True,1e-12,50,7,0.005,0.5
0.012113599931091932,1.927804342516929,0.014014703868453124,9.128829180632485,0.1,2048,500,1024,0.0,1,lstm3,20,0.0001,True,2e-12,50,7,0.005,0.5
0.016565967342844354,2.24306039439641,0.03024082696742756,11.086620929104512,0.1,256,500,128,0.0,1,lstm3,20,0.0001,True,8e-13,70,7,0.005,0.5
0.01282467513435156,2.0469656357868793,0.014805457652831566,9.365427412136524,0.1,1024,1000,512,0.0,1,lstm3,20,0.0001,True,9e-13,50,7,0.005,0.5
0.012641296113261716,2.0595765593763757,0.014532223241188748,9.249410081031138,0.1,1024,500,512,0.0,1,lstm3,20,0.0001,True,2e-12,50,7,0.005,0.5
0.012505291367820717,1.9293763893828748,0.014409774964843101,9.121107843750373,0.1,2048,500,1024,0.0,1,lstm3,20,0.0001,True,5e-13,50,7,0.005,0.5
0.012470323253239891,2.0465109139446236,0.014465117242168167,9.29064405671031,0.1,1024,1000,512,0.0,1,lstm3,20,0.0001,True,5e-13,50,7,0.005,0.5
0.012654855030678825,2.090021702615534,0.014626304848949072,10.01685468522815,0.1,1024,1000,512,0.0,1,lstm3,20,0.0001,True,1e-12,50,7,0.005,0.5
0.0130204686417388,2.082383233517376,0.01545294244216819,9.552432083206778,0.1,1024,1000,512,0.0,1,lstm3,20,0.0001,True,1e-12,50,7,0.005,0.5
0.012425002257440872,2.101599433039543,0.014392136321473658,9.129884413908824,0.1,2048,500,1024,0.0,1,lstm3,20,0.0001,True,9e-13,50,7,0.005,0.5
0.012893752523352908,2.2268567905532155,0.015696317223605892,9.975890075198398,0.1,512,500,512,0.0,1,lstm3,20,0.0001,True,3e-12,70,7,0.005,0.5
0.016331211572900777,2.542032428113305,0.038042890176927455,12.729505680551421,0.1,256,500,128,0.0,1,lstm3,20,0.0001,True,9e-13,70,7,0.005,0.5
0.012397552925199893,2.0207798831307318,0.0142965765249157,9.154211618330345,0.1,2048,500,1024,0.0,1,lstm3,20,0.0001,True,1e-12,50,7,0.005,0.5
0.012518442114514283,2.088863061529325,0.014490281634593863,9.553526290405227,0.1,1024,500,512,0.0,1,lstm3,20,0.0001,True,1e-12,50,7,0.005,0.5
0.012725169903715798,1.9990704608515992,0.01460264472151102,9.183655031477784,0.1,1024,500,512,0.0,1,lstm3,20,0.0001,True,1e-12,50,7,0.005,0.5
0.011966397944238977,1.9684045147531948,0.013832108945142023,9.134686572937929,0.1,2048,500,1024,0.0,1,lstm3,20,0.0001,True,3e-12,50,7,0.005,0.5
