MAE_pos,MAE_rot,RMSE_pos,RMSE_rot,LAT,hidden_dim,epochs,batch_size,dropout,layers,model,seq_length_input,lr,lr_reducing,weight_decay,lr_epochs,patience,delta,lr_multiplicator
0.02930678132579842,3.355010697654795,0.04047528019838367,9.39360998715365,0.1,128,500,128,0,1,lstm3,20,0.0001,True,1e-12,30,7,0.005,0.1
0.020337969924419844,2.784126953799439,0.026029578187607188,9.222580236524605,0.1,128,500,128,0,1,lstm3,20,0.0001,True,1e-12,50,7,0.005,0.2
0.02546053971064923,3.1217509739130227,0.03411126432827574,9.23407849171845,0.1,128,500,128,0,1,lstm3,20,0.0001,True,1e-12,30,7,0.005,0.2
0.019176599214124294,2.5636256169272085,0.023241636768522048,9.232420936060844,0.1,128,500,128,0,1,lstm3,20,0.0002,True,1e-12,30,7,0.005,0.5
0.02155747415703512,2.71552606101874,0.0265320712665238,10.271013465728227,0.1,128,500,128,0,1,lstm3,20,0.0003,True,1e-12,30,7,0.005,0.5
0.01940412843386991,2.4441461514741825,0.023454328575113537,9.253826917540916,0.1,128,500,128,0,1,lstm3,20,0.0002,True,1e-12,50,7,0.005,0.3
0.018768472783068882,2.4345453939640818,0.025745779836786734,9.594922641081329,0.1,128,500,128,0,1,lstm3,20,0.0003,True,1e-12,50,7,0.005,0.4
0.019383730892325698,2.553880469501062,0.024349490154302298,9.216854043216019,0.1,128,500,128,0,1,lstm3,20,0.0001,True,1e-12,70,7,0.005,0.2
0.026809313310325326,2.9017778038284217,0.03230513635685809,9.258761838577607,0.1,128,500,128,0,1,lstm3,20,0.0003,True,1e-12,30,7,0.005,0.2
0.017905432174632408,2.623304816623395,0.023057508112157944,13.082434300039637,0.1,128,500,128,0,1,lstm3,20,0.0002,True,1e-12,70,7,0.005,0.5
0.018139292761338098,2.5164543250719165,0.023081948772902743,9.274805921809422,0.1,128,500,128,0,1,lstm3,20,0.0001,True,1e-12,50,7,0.005,0.5
0.01981995544057944,2.509599779096413,0.026049731398340464,9.212616519902358,0.1,128,500,128,0,1,lstm3,20,0.0001,True,1e-12,50,7,0.005,0.4
0.026408648499192187,3.0502354255516435,0.03439192218385073,9.218162323949587,0.1,128,500,128,0,1,lstm3,20,0.0002,True,1e-12,30,7,0.005,0.1
0.022590132227662756,2.988324035221144,0.029477867260980818,9.275476830831503,0.1,128,500,128,0,1,lstm3,20,0.0001,True,1e-12,50,7,0.005,0.1
0.019740147874230004,2.33414320228578,0.025420311020674775,10.210764711745124,0.1,128,500,128,0,1,lstm3,20,0.0001,True,1e-12,70,7,0.005,0.4
0.023125759745939334,2.756835606648845,0.02655017915690004,9.213336380549585,0.1,128,500,128,0,1,lstm3,20,0.0002,True,1e-12,50,7,0.005,0.1
