mae_euc,mae_ang,mae_geo,rmse_euc,rmse_ang,rmse_geo,LAT,epochs,hidden_dim,batch_size,model,seq_length_input,lr,lr_reducing,lr_epochs,lr_multiplicator,weight_decay





0.014505015665004449,20.43270329506632,2.8150144442115335,0.018327974198333763,26.249942270355316,11.902956083856276,0.1,500,1024,512,lstm1,20,0.0001,True,50,0.5,1e-11
0.028302400559993116,33.15455972250752,5.732118067179793,0.03834976366287671,36.98452466195262,12.789142430760949,0.1,500,1024,512,lstm1,20,1e-05,True,50,0.5,1e-12
0.013840831438598142,19.70314121531696,2.8926066234119743,0.01676975792303073,25.72599703072228,11.907801551160494,0.1,500,1024,512,lstm1,20,0.0001,True,50,0.5,1e-13
0.019997305220408195,15.912480921016218,3.085533367362734,0.028980484536777904,20.288915503388427,15.614550965313027,0.1,500,1024,512,lstm1,20,0.001,True,50,0.5,1e-12
0.013493646801904149,19.570074226761008,2.7410285224551934,0.015850408408674032,26.162488972985667,11.894663538491388,0.1,500,1024,512,lstm1,20,0.0001,True,50,0.5,1e-12
n/a,11.938417882368016,1.9101492464973258,n/a,17.08395484328674,10.969753156591535,0.1,500,1024,512,lstm1,20,0.0001,True,50,0.5,1e-13
n/a,10.885325227691517,1.9221277469635818,n/a,15.267315408754753,10.84180993835315,0.1,500,1024,512,lstm1,20,0.001,True,50,0.5,1e-12
n/a,13.70037806741559,2.1736516074037375,n/a,16.647538627198934,9.400483068603661,0.1,500,1024,512,lstm1,20,1e-05,True,50,0.5,1e-12
n/a,11.825284592575333,1.8925207216504185,n/a,17.37461076767109,10.827203188938062,0.1,500,1024,512,lstm1,20,0.0001,True,50,0.5,1e-11
n/a,11.812946613108537,1.8960111448561963,n/a,16.639660818459742,10.979246324864029,0.1,500,1024,512,lstm1,20,0.0001,True,50,0.5,1e-12
0.078268992720179,n/a,n/a,0.09159258471933508,n/a,n/a,0.1,500,1024,512,lstm1,20,1e-05,True,50,0.5,1e-12
0.06829133231560272,n/a,n/a,0.08034498880058312,n/a,n/a,0.1,500,1024,512,lstm1,20,0.001,True,50,0.5,1e-12
0.07229762597680348,n/a,n/a,0.08062460659115739,n/a,n/a,0.1,500,1024,512,lstm1,20,0.0001,True,50,0.5,1e-12
0.07294439285047424,n/a,n/a,0.08379728802268738,n/a,n/a,0.1,500,1024,512,lstm1,20,0.0001,True,50,0.5,1e-13
0.07094098736117478,n/a,n/a,0.07958805887799707,n/a,n/a,0.1,500,1024,512,lstm1,20,0.0001,True,50,0.5,1e-11
0.05578318925613907,22.863201082309057,4.526325066849197,0.18514516876299467,30.881775740297442,16.047472069741957,0.1,500,1024,512,lstm2,20,0.001,True,50,0.5,1e-12
0.024975641041551505,33.31938518291653,5.742708416358694,0.029153919663805095,37.48388367330973,12.537650261108036,0.1,500,1024,512,lstm2,20,1e-05,True,50,0.5,1e-12
0.025236540619047836,23.433284428894478,3.6662117789222237,0.033180969415338754,30.90740237007486,12.244285772488134,0.1,500,1024,512,lstm2,20,0.0001,True,50,0.5,1e-11
