mae_euc,mae_ang,mae_geo,rmse_euc,rmse_ang,rmse_geo,LAT,epochs,hidden_dim,batch_size,model,seq_length_input,lr,lr_reducing,lr_epochs,lr_multiplicator,weight_decay
0.09462410956823938,n/a,n/a,0.1128036053700072,n/a,n/a,0.1,500,16,256,gru1,20,0.0001,True,50,0.5,1e-12
0.08123740271636623,n/a,n/a,0.10334621663208529,n/a,n/a,0.1,500,32,256,gru1,20,0.0001,True,50,0.5,1e-12
0.07439004598190484,n/a,n/a,0.0831987150183911,n/a,n/a,0.1,500,1024,1024,gru1,20,0.0001,True,50,0.5,1e-12
0.07614786946225058,n/a,n/a,0.08832961041580246,n/a,n/a,0.1,500,256,64,gru1,20,0.0001,True,50,0.5,1e-12
0.0847847804373996,n/a,n/a,0.1098188977836342,n/a,n/a,0.1,500,256,16,gru1,20,0.0001,True,50,0.5,1e-12
0.2677645155810249,n/a,n/a,0.3964944819323375,n/a,n/a,0.1,500,2048,16,gru1,20,0.0001,True,50,0.5,1e-12
0.07153848722677592,n/a,n/a,0.08108691137836559,n/a,n/a,0.1,500,2048,2048,gru1,20,0.0001,True,50,0.5,1e-12
0.09159234352451545,n/a,n/a,0.12965535583378318,n/a,n/a,0.1,500,32,16,gru1,20,0.0001,True,50,0.5,1e-12
0.08088566709360935,n/a,n/a,0.08957541235089554,n/a,n/a,0.1,500,256,2048,gru1,20,0.0001,True,50,0.5,1e-12
0.08089897867475454,n/a,n/a,0.09794925156356157,n/a,n/a,0.1,500,128,256,gru1,20,0.0001,True,50,0.5,1e-12
0.08355892107095603,n/a,n/a,0.10233309652376757,n/a,n/a,0.1,500,1024,32,gru1,20,0.0001,True,50,0.5,1e-12
0.08072327511037142,n/a,n/a,0.09366618549747599,n/a,n/a,0.1,500,128,512,gru1,20,0.0001,True,50,0.5,1e-12
0.09013106622979994,n/a,n/a,0.1105217341321502,n/a,n/a,0.1,500,2048,64,gru1,20,0.0001,True,50,0.5,1e-12
0.08389411379840916,n/a,n/a,0.10533709754820379,n/a,n/a,0.1,500,32,128,gru1,20,0.0001,True,50,0.5,1e-12
0.07706915114759208,n/a,n/a,0.09161304228678238,n/a,n/a,0.1,500,2048,512,gru1,20,0.0001,True,50,0.5,1e-12
0.24989875621858557,n/a,n/a,0.30430409852460893,n/a,n/a,0.1,500,1024,16,gru1,20,0.0001,True,50,0.5,1e-12
0.8156468007844481,n/a,n/a,0.9390773203469706,n/a,n/a,0.1,500,32,2048,gru1,20,0.0001,True,50,0.5,1e-12
0.08343580038026194,n/a,n/a,0.10171127237151936,n/a,n/a,0.1,500,16,128,gru1,20,0.0001,True,50,0.5,1e-12
0.07813773264578619,n/a,n/a,0.09400495695215116,n/a,n/a,0.1,500,512,256,gru1,20,0.0001,True,50,0.5,1e-12
