timestamp,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
0.0,0.00102079846,0.0841746,0.0730089843,-0.027735669006969527,0.0008052690251686536,-0.004404539552302632,0.999605264210761,-0.5027445704044726,-3.17905632657232,0.07836239251574582
5000000.0,0.0010407579923076922,0.08414786846153846,0.07294659781538461,-0.027647871531257643,0.0007737665366178948,-0.004427925326415425,0.9996076179994037,-0.5055319009653753,-3.16897761815544,0.07471798986794853
10000000.0,0.0010607175246153846,0.08412113692307692,0.07288421133076922,-0.02756007379971342,0.0007422640409072901,-0.004451311059555571,0.9996099625384388,-0.508318562367292,-3.1588987327504627,0.07107411371767233
15000000.0,0.0010806770569230769,0.08409440538461539,0.07282182484615385,-0.027472275813149268,0.0007107615383283393,-0.0044746967515066766,0.9996122978278449,-0.5111045547905222,-3.1488196704237215,0.06743076383316927
20000000.0,0.0011006365892307693,0.08406767384615385,0.07275943836153846,-0.027384477572377594,0.0006792590291725426,-0.004498082402052344,0.9996146238676001,-0.5138898784151106,-3.1387404312415246,0.06378793998299676
25000000.0,0.0011205961215384615,0.08404094230769231,0.07269705187692307,-0.02729667907821083,0.0006477565137314004,-0.004521468010976184,0.999616940657683,-0.5166745334211529,-3.1286610152701044,0.06014564193555951
30000000.0,0.0011405556538461538,0.08401421076923077,0.07263466539230769,-0.02720888033146139,0.0006162539922964126,-0.004544853578061804,0.9996192481980724,-0.5194585199885414,-3.118581422575718,0.05650386945951672
35000000.0,0.0011605151861538462,0.08398747923076924,0.07257227890769231,-0.0271210813329417,0.0005847514651590799,-0.004568239103092811,0.9996215464887463,-0.5222418382971683,-3.1085016532245966,0.05286262232352756
40000000.0,0.0011804747184615385,0.0839607476923077,0.07250989242307693,-0.027033282083464175,0.0005532489326109025,-0.0045916245858528115,0.9996238355296841,-0.5250244885268238,-3.098421707282897,0.04922190029630207
45000000.0,0.0012004342507692307,0.08393401615384616,0.07244750593846154,-0.026945482583841253,0.000521746394943381,-0.004615010026125416,0.9996261153208644,-0.5278064708571458,-3.088341584816824,0.04558170314665212
50000000.0,0.0012203937830769231,0.08390728461538462,0.07238511945384615,-0.02685768283488536,0.0004902438524480155,-0.004638395423694233,0.999628385862266,-0.5305877854676703,-3.078261285892484,0.04194203064344043
55000000.0,0.0012403533153846154,0.08388055307692309,0.07232273296923078,-0.02676988283740893,0.0004587413054163071,-0.004661780778342874,0.999630647153868,-0.533368432537933,-3.0681808105759547,0.0383028825556824
60000000.0,0.0012603128476923078,0.08385382153846155,0.07226034648461539,-0.026682082592224394,0.00042723875413975594,-0.004685166089854945,0.9996328991956493,-0.5361484122472665,-3.0581001589333674,0.034664258652342524
65000000.0,0.00128027238,0.08382709,0.07219796,-0.02659428210014419,0.000395736198909863,-0.0047085513580140586,0.9996351419875893,-0.5389277247750032,-3.048019331030699,0.031026158702487105
70000000.0,0.0016545864433333334,0.08363161666666667,0.07092674333333333,-0.026604024471527595,0.0002395738435712942,-0.005359192783727341,0.9996316559308227,-0.6140426890170112,-3.049059765184494,0.011120754019594862
75000000.0,0.0020289005066666667,0.08343614333333334,0.06965552666666668,-0.02663508456770178,5.614705356520989e-05,-0.006147017952434517,0.9996263218262473,-0.7049797988454418,-3.0524986953935933,-0.01234760208240296
80000000.0,0.00240321457,0.08324067,0.06838431,-0.026666127209716846,-0.00012727977323443544,-0.006934839092957395,0.9996203326594799,-0.795918601286705,-3.055900425881498,-0.03582146925083177
85000000.0,0.0028121192,0.08317287,0.06744376,-0.027059670687668954,0.00013329816522562792,-0.007647855520847316,0.999604555191605,-0.8769382380941867,-3.101214504293104,-0.00845812828460327
90000000.0,0.002936572766666667,0.08325138833333333,0.06739037256666668,-0.02755018920487199,0.0005787040032534229,-0.008218170266332958,0.9995864714240215,-0.9409876068843888,-3.157857107934852,0.040403604294283677
95000000.0,0.0030610263333333333,0.08332990666666666,0.06733698513333333,-0.028108978981440137,0.0013314005125558176,-0.008358849188499669,0.9995690282884621,-0.9547060932711904,-3.2226377342812222,0.1257762221344498
100000000.0,0.0031854799,0.08340842500000001,0.0672835977,-0.028667743491047448,0.0020840958250717824,-0.008499520596956432,0.9995506866474283,-0.9683287623852623,-3.2874386968341835,0.2111387920274856
105000000.0,0.003309933466666667,0.08348694333333334,0.06723021026666667,-0.029226482231424482,0.0028367892642088663,-0.008640184365254714,0.9995314465174076,-0.9818556006224309,-3.3522598493965887,0.2964915273275944
110000000.0,0.003434387033333333,0.08356546166666667,0.06717682283333333,-0.029785194700324983,0.003589480153376302,-0.008780840366952862,0.9995113079156945,-0.9952865939982298,-3.4171010458267075,0.38183464159273856
115000000.0,0.0035588406,0.08364398,0.0671234354,-0.030343880395526282,0.004342167815985615,-0.008921488475616197,0.9994902708603918,-1.0086217281470349,-3.481962140037186,0.46716834858474143
120000000.0,0.00379151385,0.08372499,0.06695081693333334,-0.030974331575056312,0.0052997808307897855,-0.00864771794751876,0.9994687189106641,-0.9735381241534717,-3.5550436937472685,0.5774141913827465
125000000.0,0.0040241871,0.083806,0.06677819846666666,-0.03161881021008444,0.006297558061250961,-0.0082926980047019,0.9994457577893694,-0.928832639550063,-3.629652232284688,0.6926066558563103
130000000.0,0.00425686035,0.08388701,0.06660558,-0.03226324023187211,0.0072953256093521044,-0.007937665312040267,0.9994212600417245,-0.8839732032280359,-3.704170890356207,0.8078670286161771
135000000.0,0.0044453159,0.083911,0.06647132146666666,-0.032862925546202945,0.00827379194682567,-0.007490466796953964,0.9993975512270026,-0.8284944523902902,-3.773374010634378,0.9213648246568568
