hidden_dim,batch_size,lr_adam,lr_epochs,lr_multiplicator,weight_decay_adam,n_epochs
1024,512,0.0001,50,0.3,0.000000000001,500
2048,1024,0.0001,50,0.3,0.000000000001,500
1024,512,0.0001,50,0.5,0.000000000001,500
2048,1024,0.0001,50,0.5,0.000000000001,500
1024,512,0.0001,50,0.7,0.000000000001,500
2048,1024,0.0001,50,0.7,0.000000000001,500
1024,512,0.0002,50,0.3,0.000000000001,500
2048,1024,0.0002,50,0.3,0.000000000001,500
1024,512,0.0002,50,0.5,0.000000000001,500
2048,1024,0.0002,50,0.5,0.000000000001,500
1024,512,0.0002,50,0.7,0.000000000001,500
2048,1024,0.0002,50,0.7,0.000000000001,500
1024,512,0.0003,50,0.3,0.000000000001,500
2048,1024,0.0003,50,0.3,0.000000000001,500
1024,512,0.0003,50,0.5,0.000000000001,500
2048,1024,0.0003,50,0.5,0.000000000001,500
1024,512,0.0003,50,0.7,0.000000000001,500
2048,1024,0.0003,50,0.7,0.000000000001,500
1024,512,0.0004,50,0.3,0.000000000001,500
2048,1024,0.0004,50,0.3,0.000000000001,500
1024,512,0.0004,50,0.5,0.000000000001,500
2048,1024,0.0004,50,0.5,0.000000000001,500
1024,512,0.0004,50,0.7,0.000000000001,500
2048,1024,0.0004,50,0.7,0.000000000001,500
1024,512,0.0005,50,0.3,0.000000000001,500
2048,1024,0.0005,50,0.3,0.000000000001,500
1024,512,0.0005,50,0.5,0.000000000001,500
2048,1024,0.0005,50,0.5,0.000000000001,500
1024,512,0.0005,50,0.7,0.000000000001,500
2048,1024,0.0005,50,0.7,0.000000000001,500
1024,512,0.0006,50,0.3,0.000000000001,500
2048,1024,0.0006,50,0.3,0.000000000001,500
1024,512,0.0006,50,0.5,0.000000000001,500
2048,1024,0.0006,50,0.5,0.000000000001,500
1024,512,0.0006,50,0.7,0.000000000001,500
2048,1024,0.0006,50,0.7,0.000000000001,500
1024,512,0.0007,50,0.3,0.000000000001,500
2048,1024,0.0007,50,0.3,0.000000000001,500
1024,512,0.0007,50,0.5,0.000000000001,500
2048,1024,0.0007,50,0.5,0.000000000001,500
1024,512,0.0007,50,0.7,0.000000000001,500
2048,1024,0.0007,50,0.7,0.000000000001,500
1024,512,0.0008,50,0.3,0.000000000001,500
2048,1024,0.0008,50,0.3,0.000000000001,500
1024,512,0.0008,50,0.5,0.000000000001,500
2048,1024,0.0008,50,0.5,0.000000000001,500
1024,512,0.0008,50,0.7,0.000000000001,500
2048,1024,0.0008,50,0.7,0.000000000001,500
1024,512,0.0009,50,0.3,0.000000000001,500
2048,1024,0.0009,50,0.3,0.000000000001,500
1024,512,0.0009,50,0.5,0.000000000001,500
2048,1024,0.0009,50,0.5,0.000000000001,500
1024,512,0.0009,50,0.7,0.000000000001,500
2048,1024,0.0009,50,0.7,0.000000000001,500
1024,512,0.001,50,0.3,0.000000000001,500
2048,1024,0.001,50,0.3,0.000000000001,500
1024,512,0.001,50,0.5,0.000000000001,500
2048,1024,0.001,50,0.5,0.000000000001,500
1024,512,0.001,50,0.7,0.000000000001,500
2048,1024,0.001,50,0.7,0.000000000001,500
1024,512,0.003,50,0.3,0.000000000001,500
2048,1024,0.003,50,0.3,0.000000000001,500
1024,512,0.003,50,0.5,0.000000000001,500
2048,1024,0.003,50,0.5,0.000000000001,500
1024,512,0.003,50,0.7,0.000000000001,500
2048,1024,0.003,50,0.7,0.000000000001,500
1024,512,0.005,50,0.3,0.000000000001,500
2048,1024,0.005,50,0.3,0.000000000001,500
1024,512,0.005,50,0.5,0.000000000001,500
2048,1024,0.005,50,0.5,0.000000000001,500
1024,512,0.005,50,0.7,0.000000000001,500
2048,1024,0.005,50,0.7,0.000000000001,500
1024,512,0.007,50,0.3,0.000000000001,500
2048,1024,0.007,50,0.3,0.000000000001,500
1024,512,0.007,50,0.5,0.000000000001,500
2048,1024,0.007,50,0.5,0.000000000001,500
1024,512,0.007,50,0.7,0.000000000001,500
2048,1024,0.007,50,0.7,0.000000000001,500
1024,512,0.0001,50,0.5,0.0000000000000001,500
2048,1024,0.0001,50,0.5,0.0000000000000001,500
1024,512,0.0001,50,0.5,0.000000000000001,500
2048,1024,0.0001,50,0.5,0.000000000000001,500
1024,512,0.0001,50,0.5,0.00000000000001,500
2048,1024,0.0001,50,0.5,0.00000000000001,500
1024,512,0.0001,50,0.5,0.0000000000001,500
2048,1024,0.0001,50,0.5,0.0000000000001,500
1024,512,0.0001,50,0.5,0.000000000001,500
2048,1024,0.0001,50,0.5,0.000000000001,500
1024,512,0.0001,50,0.5,0.00000000001,500
2048,1024,0.0001,50,0.5,0.00000000001,500
1024,512,0.0001,50,0.5,0.0000000001,500
2048,1024,0.0001,50,0.5,0.0000000001,500
1024,512,0.0001,50,0.5,0.000000001,500
2048,1024,0.0001,50,0.5,0.000000001,500
1024,512,0.0001,50,0.5,0.00000001,500
2048,1024,0.0001,50,0.5,0.00000001,500
1024,512,0.0001,50,0.5,0.0000001,500
2048,1024,0.0001,50,0.5,0.0000001,500
1024,512,0.0001,50,0.5,0.000001,500
2048,1024,0.0001,50,0.5,0.000001,500
1024,512,0.0001,50,0.5,0.00001,500
2048,1024,0.0001,50,0.5,0.00001,500
