MAE_pos,MAE_rot,RMSE_pos,RMSE_rot,LAT,hidden_dim,epochs,batch_size,dropout,layers
0.374775390625,16.581895660040992,0.4326338469982147,19.07009875040812,0.1,20,250,16,0.1,1
0.5465880533854167,17.581405352116494,0.6218255758285522,20.47782375395262,0.1,20,250,16,0.1,3
0.5393580322265625,16.943497340254186,0.6188393831253052,19.493169580736726,0.1,20,500,16,0.1,3
0.301052734375,14.88283955783095,0.35917961597442627,17.065831654134804,0.1,20,500,16,0.1,1
0.37738736979166665,13.72235719838483,0.43856799602508545,16.42846387040099,0.1,20,250,32,0.1,2
0.37813623046875,14.583244302533556,0.4306811988353729,16.63411754625705,0.1,20,500,32,0.1,2
0.4715264485677083,15.432831722705357,0.5454102158546448,18.16998150879394,0.1,20,250,16,0.1,2
0.32111358642578125,14.856587633369461,0.3907201886177063,17.78305588453564,0.1,20,250,16,0.2,1
0.26350876871744794,13.520477485410243,0.316299170255661,16.39539460424563,0.1,20,500,64,0.2,1
0.5098126627604167,18.998696605288504,0.5712222456932068,20.607475913665187,0.1,20,500,16,0.2,2
0.2989889119466146,12.841112435148807,0.3555869162082672,15.787045059008856,0.1,20,250,32,0.1,1
0.505833740234375,13.386308551501093,0.5867493748664856,15.103878887819361,0.1,20,250,32,0.2,2
0.43650276692708334,13.59496547168767,0.5062075257301331,16.622933841919565,0.1,20,500,64,0.2,2
0.3656315104166667,13.071703682997939,0.43372902274131775,15.345935832585896,0.1,20,500,64,0.1,2
0.4574794921875,15.645208909263005,0.5234716534614563,17.52077869196474,0.1,20,250,32,0.1,3
0.3684710286458333,13.899777510611646,0.44898495078086853,16.729742726389528,0.1,20,500,32,0.1,1
0.3985231119791667,13.985319809519824,0.4570485055446625,16.24251089507406,0.1,20,500,64,0.1,3
0.4019364420572917,13.205807620390637,0.4649588167667389,15.262981022874701,0.1,20,250,64,0.2,2
0.41308512369791667,15.575057939519608,0.497676283121109,18.51123540567667,0.1,20,500,32,0.1,3
0.450222412109375,15.271123939193814,0.5162653923034668,17.264812108375715,0.1,20,250,64,0.2,3
0.3180745442708333,13.667220517007172,0.3679448962211609,16.05241781718898,0.1,20,250,64,0.2,1
0.45069392903645833,14.837641772309457,0.516959547996521,17.314311279914467,0.1,20,500,16,0.1,2
0.5875772298177083,20.76711495358096,0.6480806469917297,23.510697828296657,0.1,20,250,16,0.2,3
0.5598154296875,14.212762803298828,0.6457832455635071,15.949453689434828,0.1,20,500,32,0.2,2
0.5337310384114583,16.735241321501388,0.5884230732917786,18.753089286710747,0.1,20,250,16,0.2,2
0.3167784016927083,12.491797646004937,0.392043799161911,14.904140264384626,0.1,20,500,32,0.2,1
0.37878401692708336,14.254900291177483,0.43916451930999756,17.33319524517751,0.1,20,250,64,0.1,2
0.4309991048177083,13.502925791736072,0.5046336650848389,15.766366712655955,0.1,20,250,64,0.1,3
0.33825557454427085,12.506304908931032,0.41502079367637634,15.615525008310831,0.1,20,250,32,0.2,1
0.28594986979166664,16.01747030328437,0.34207049012184143,18.51921098919035,0.1,20,500,16,0.2,1
0.28549778238932294,11.772803631098768,0.35296666622161865,13.77142678646921,0.1,20,500,64,0.1,1
0.6981852213541667,21.18819069117113,0.7839691638946533,23.522833444154944,0.1,20,500,16,0.2,3
0.543675537109375,17.022096431911272,0.628644585609436,19.258695611705562,0.1,20,250,32,0.2,3
0.28908982340494793,12.336005777982335,0.34617891907691956,14.147201020347971,0.1,20,250,64,0.1,1
0.4723452962239583,17.248382322209604,0.5464219450950623,20.134886631061207,0.1,20,500,32,0.2,3
0.33666475423177084,11.236082902912836,0.3965083360671997,13.41426004499629,0.1,20,500,512,0.1,3
0.35213134765625,11.398066623696385,0.3991398215293884,13.594691258220028,0.1,20,500,1024,0.2,2
0.364759033203125,11.969251709536113,0.42910921573638916,14.066650156038156,0.1,20,250,128,0.1,2
0.24366453043619793,9.979785638575413,0.29358044266700745,11.993076796222232,0.1,20,250,2048,0.1,1
0.2765346069335938,10.858878898178636,0.3295442461967468,12.880700248035243,0.1,20,500,256,0.2,1
0.2795124918619792,10.888416778075376,0.3260541260242462,12.909865945822958,0.1,20,250,8192,0.2,1
0.2836331787109375,10.846058660744031,0.3368127942085266,12.909893850266188,0.1,20,250,256,0.2,1
0.29126546223958333,11.096297539674476,0.33655795454978943,13.308959433660315,0.1,20,250,2048,0.2,2
0.30243546549479167,11.344425237887963,0.34631088376045227,13.33313286117118,0.1,20,250,8192,0.1,2
0.44055379231770836,14.482610323256612,0.5145595073699951,16.554711357947575,0.1,20,250,128,0.2,3
0.3466925048828125,11.780971068698571,0.3973090350627899,15.086982241255264,0.1,20,500,512,0.2,2
