MSE_pos,MSE_rot,RMSE_pos,RMSE_rot,LAT,hidden_dim,epochs,batch_size,dropout
0.29351350911458335,12.284943569052663,0.34984859824180603,17.249509822092186,0.1,4,1000,4096,0.2
0.24670939127604166,11.729189574912022,0.31683456897735596,16.591789645383006,0.1,4,800,2048,0.6
0.7799361979166667,11.724068500625508,0.9009890556335449,15.836275456193782,0.1,4,600,32,0.6
0.6434498697916666,10.478158652690295,0.8588743209838867,15.806708810574081,0.1,8,400,32,0.4
0.6299479166666667,14.812206813583545,0.7108122110366821,20.57523307799492,0.1,4,400,4096,0.2
0.6379461263020834,13.829101798328871,0.795249879360199,18.931794719155913,0.1,4,600,8192,0.4
0.89485791015625,13.35961682555017,1.1050883531570435,17.293434254565096,0.1,4,400,32,0.4
1.07353369140625,16.470056311410396,1.241254448890686,21.634918339464363,0.1,4,400,16,0.4
0.6955636393229166,12.639535338595124,0.9004520773887634,17.58975468055823,0.1,4,800,128,0.6
0.6551905924479167,10.285413774232676,0.8114638924598694,15.979408468943891,0.1,4,400,128,0.2
0.4953108723958333,12.453667111860533,0.6190411448478699,16.95402353169177,0.1,4,800,512,0.4
0.32793296305338543,12.749808490842884,0.4407336711883545,17.72305933461812,0.1,4,400,1024,0.6
0.4411886800130208,8.160589197705287,0.54116290807724,13.733840486445988,0.1,8,800,64,0.6
0.2285709228515625,5.411832264137955,0.29881447553634644,12.254349924223442,0.1,8,600,256,0.6
0.36535371907552083,9.73648615515802,0.4581397473812103,15.074082731194734,0.1,4,1000,512,0.6
0.40141389973958336,6.588276641234903,0.4805266857147217,12.632364928520524,0.1,8,800,128,0.4
0.6733746744791667,20.122837491372632,0.813722550868988,25.18053933783326,0.1,4,600,8192,0.6
0.21759708658854165,6.093685195046374,0.2552541196346283,12.73408946107516,0.1,8,400,512,0.2
0.5039935709635417,7.376696405366087,0.5752906799316406,13.71589806756758,0.1,8,400,64,0.4
0.3150490926106771,5.21634644066919,0.39923712611198425,12.338005415167304,0.1,8,400,1024,0.2
0.21394136555989585,11.057787915240644,0.27742111682891846,16.07655040755485,0.1,4,1000,2048,0.6
0.3690006510416667,8.464649329175705,0.4889013171195984,14.271111312887447,0.1,8,600,256,0.2
0.5819117024739583,10.316373679052425,0.6665194034576416,15.616005199173102,0.1,4,1000,512,0.4
0.5820899658203125,9.514033208798,0.7484456300735474,14.81906738192578,0.1,8,400,64,0.2
0.3364864095052083,6.70860719843357,0.42208969593048096,13.056136597026661,0.1,8,800,64,0.2
0.18357373046875,4.770663124586362,0.2397637516260147,12.462311273549519,0.1,8,600,1024,0.4
0.403364013671875,7.340351758095887,0.5304755568504333,13.46124495182764,0.1,8,800,16,0.4
0.5801690266927083,14.418763195396973,0.6933918595314026,18.7991170166544,0.1,4,400,64,0.4
0.25895100911458335,7.5622962747437015,0.34069907665252686,13.239139474846478,0.1,4,1000,4096,0.6
0.3151468505859375,11.178567879330028,0.38307324051856995,16.299757773232134,0.1,4,600,1024,0.6
0.36791031901041665,6.771367451493758,0.4516592025756836,13.035663622908617,0.1,8,1000,256,0.6
0.3958203125,5.668975384402821,0.5065524578094482,12.530086539961033,0.1,8,400,512,0.6
0.713234130859375,12.37257181627695,0.9195495843887329,17.364358438247542,0.1,4,800,32,0.2
0.2710948486328125,6.218490477373039,0.3443867564201355,12.780852859530373,0.1,8,800,128,0.6
0.8177127278645834,9.795889827578508,1.0130248069763184,15.8858503794313,0.1,4,1000,16,0.2
0.2641966959635417,5.324925498796147,0.3398682475090027,12.284560892577284,0.1,8,600,512,0.4
0.7613544108072917,15.420122862470373,1.0214149951934814,22.21359983848021,0.1,4,400,8192,0.2
0.5333412679036459,11.864651726685254,0.6627764105796814,16.7535979047658,0.1,4,400,256,0.2
0.24884004720052083,7.464462771996847,0.38639867305755615,13.881653078081246,0.1,8,600,128,0.6
0.9203196614583333,11.892201329168241,1.0495351552963257,16.447548208203738,0.1,4,800,16,0.6
0.14214522298177085,4.861402239805601,0.20173414051532745,12.170407449074665,0.1,8,800,1024,0.6
0.37494791666666666,6.667127610197467,0.49224111437797546,13.105171170897968,0.1,8,1000,256,0.4
0.3352009480794271,11.405902201117055,0.41414743661880493,16.328290829519453,0.1,4,1000,1024,0.6
0.3116055908203125,5.64201172471887,0.38103601336479187,12.400110577280255,0.1,8,800,256,0.4
0.4354564615885417,11.802868636259362,0.5370078682899475,16.533023425822726,0.1,4,400,512,0.4
0.5322793375651041,7.419871479643639,0.6749979257583618,13.324848763867706,0.1,4,600,16,0.2
0.26483833821614583,7.50085679198556,0.33837372064590454,13.738812051908829,0.1,8,400,1024,0.4
0.380930419921875,10.334292085761543,0.46899887919425964,15.65595330870478,0.1,12,1000,16,0.6
0.46630183919270835,11.768703445313827,0.6304210424423218,17.163661042894283,0.1,4,600,128,0.4
0.2663315022786458,8.824445635985626,0.32817041873931885,14.845868166405186,0.1,8,600,32,0.2
0.562572509765625,14.967986431465567,0.6973956227302551,21.503675458847948,0.1,12,400,16,0.6
0.44584309895833335,10.739345966354625,0.5191931128501892,15.828537880170398,0.1,4,600,512,0.4
