MAE_pos,MAE_rot,RMSE_pos,RMSE_rot,LAT,hidden_dim,epochs,batch_size,dropout,layers
0.08280176289876302,5.518576725651734,0.10025916993618011,8.791434241849103,0.1,20,250,16,0.1,2
0.05975590515136719,4.515118805251852,0.07183463126420975,11.180677869012964,0.1,20,250,16,0.1,1
0.09960896809895833,6.030444096270286,0.12305056303739548,9.152394830782663,0.1,20,250,32,0.1,3
0.10607901000976562,7.0068583361419705,0.12313307821750641,12.534206601928135,0.1,20,500,32,0.2,2
0.09160711669921875,5.790570182122107,0.12539231777191162,9.088450507896372,0.1,20,500,16,0.1,3
0.0579382069905599,4.417056037195211,0.07135181874036789,10.360261055623054,0.1,20,500,32,0.1,1
0.08541178385416667,5.770519979923859,0.10348353534936905,10.352104697997945,0.1,20,500,16,0.1,2
0.12874510701497396,7.414116995384859,0.16414031386375427,12.131399872205506,0.1,20,250,16,0.2,3
0.09575331624348958,5.656547676677041,0.1112976223230362,8.225534611518206,0.1,20,250,64,0.2,2
0.12430898030598958,6.942816261490707,0.14915338158607483,8.961712233271395,0.1,20,250,64,0.1,3
0.05709596761067708,4.446435060074355,0.0694376677274704,10.172895955484943,0.1,20,250,32,0.1,1
0.13800478108723957,10.359451577492418,0.1718849241733551,16.197942964158994,0.1,20,500,16,0.2,2
0.1283450927734375,8.52022358754627,0.17132608592510223,12.293354122824068,0.1,20,250,32,0.2,3
0.10927301025390625,7.9955145613369965,0.1303844302892685,9.890813420859718,0.1,20,250,16,0.2,2
0.06062098693847656,4.206445328428695,0.08116049319505692,10.101246947199394,0.1,20,250,16,0.2,1
0.09127878824869792,5.401573329152512,0.11163786053657532,9.0879816868068,0.1,20,250,64,0.1,2
0.05767173258463542,4.20189721876459,0.07260929048061371,10.165454875058668,0.1,20,500,16,0.1,1
0.057868988037109374,4.433869342032018,0.07032617181539536,10.035582997767508,0.1,20,500,16,0.2,1
0.057432322184244794,4.403727973411581,0.07160211354494095,11.224306989339292,0.1,20,500,64,0.2,1
0.05536592610677083,4.233484756532627,0.06760767847299576,10.097347868434907,0.1,20,500,32,0.2,1
0.10745320638020833,5.944059807912907,0.13224686682224274,8.720906258811594,0.1,20,500,32,0.1,3
0.1060079345703125,6.36320053720984,0.140424445271492,8.257641133358824,0.1,20,500,64,0.1,3
0.10572686767578125,6.1215957213804755,0.1337260603904724,10.896683557372175,0.1,20,250,16,0.1,3
0.07845982869466146,5.178864117196642,0.1170361191034317,10.656765061735749,0.1,20,250,32,0.1,2
0.05686429850260417,4.214476151583244,0.07250843942165375,8.681968424712705,0.1,20,250,64,0.2,1
0.05519116719563802,3.9893892497044803,0.0672413557767868,7.949501893639915,0.1,20,250,64,0.1,1
0.05730688985188802,4.229495762070283,0.07067039608955383,9.379550415622793,0.1,20,250,32,0.2,1
0.08429637654622396,4.8809964658078,0.09839079529047012,7.155828435663415,0.1,20,500,32,0.1,2
0.11740869140625,5.596266339407107,0.14132197201251984,9.962929202401781,0.1,20,250,32,0.2,2
0.10581360880533854,6.141009654572533,0.12421322613954544,11.829499285300066,0.1,20,500,64,0.2,2
0.14784446207682292,8.149081540990082,0.18869732320308685,12.491707498295444,0.1,20,250,64,0.2,3
0.11625327555338541,7.398162040153243,0.14766521751880646,10.773604191377736,0.1,20,500,16,0.2,3
0.05720704142252604,3.995657957281274,0.07051112502813339,8.65477318379059,0.1,20,500,64,0.1,1
0.12425986735026041,7.98331025386677,0.14688819646835327,10.17831986573311,0.1,20,500,32,0.2,3
0.12963392130533855,7.881840926818992,0.15591254830360413,10.350569268457045,0.1,20,500,64,0.2,3
0.09142460123697917,5.198445274365137,0.11269126832485199,10.821835835899789,0.1,20,500,64,0.1,2
0.07875124104817709,4.585993000155595,0.09951648116111755,6.273243362709428,0.1,20,250,128,0.1,2
0.09590121459960937,5.593696161521469,0.1156831830739975,8.21141966511306,0.1,20,500,128,0.2,2
0.059142181396484375,4.03728274912907,0.07248377799987793,6.672435307253108,0.1,20,250,128,0.2,1
0.0765024159749349,4.597925207835375,0.09007701277732849,6.993994195884158,0.1,20,500,128,0.1,2
0.09184276326497395,5.650641029736107,0.11013670265674591,8.260787066312131,0.1,20,500,256,0.2,2
0.0565831298828125,3.960199260152215,0.0716092586517334,7.728934999731286,0.1,20,500,256,0.2,1
0.13640840657552084,8.578564456727221,0.1600332409143448,11.002433011961367,0.1,20,250,128,0.2,3
0.05720430501302083,3.739898219862717,0.07152143865823746,5.85845119383876,0.1,20,500,128,0.2,1
0.07722809346516928,4.840219694359813,0.10347012430429459,8.297671438806876,0.1,20,250,256,0.1,2
0.06173890177408854,3.7013890375829175,0.07871195673942566,5.909291874129978,0.1,20,250,512,0.1,1
0.10068428548177083,5.494656888233554,0.12034938484430313,7.8089336625702055,0.1,20,250,256,0.2,2
0.1313800557454427,9.056546901591174,0.1565389186143875,11.893885487988339,0.1,20,250,256,0.2,3
0.054620076497395836,3.8616959799319903,0.067479707300663,5.9567751058490535,0.1,20,250,256,0.2,1
0.13576702880859376,8.656108160184425,0.1618625819683075,10.816624304184254,0.1,20,500,256,0.2,3
0.0995436299641927,6.4311370918345085,0.1289401650428772,8.427477037306984,0.1,20,250,128,0.1,3
0.12125287882486979,8.154410126521173,0.14172138273715973,10.364379192928793,0.1,20,500,128,0.2,3
0.06071467590332031,3.838058771092736,0.07232589274644852,6.145424167641937,0.1,20,250,256,0.1,1
0.08318945821126301,5.173987413908107,0.09781529754400253,7.614319531940797,0.1,20,500,256,0.1,2
0.09890183512369792,5.758598110906634,0.11863961815834045,7.841457633459244,0.1,20,250,128,0.2,2
0.1086417236328125,7.139600581515566,0.12800614535808563,9.584621898669216,0.1,20,250,256,0.1,3
0.05980047607421875,3.9312330643565816,0.07339024543762207,6.535217815976877,0.1,20,500,256,0.1,1
0.10878876749674479,6.93961191243659,0.13769948482513428,8.759452264373333,0.1,20,500,128,0.1,3
0.06113510131835938,4.048926032482781,0.07385217398405075,7.361796857481426,0.1,20,500,128,0.1,1
