timestamp,x,y,z,qx,qy,qz,qw,velocity_x,velocity_y,velocity_z,speed
1.262312,0.0162063,0.03038793,-0.01523484,-0.05569126,0.008604741,-0.007140451,0.9983854,1.010201,1.862678,-0.9195896,2.309917
1.282312,0.0157947,0.02997469,-0.01537531,-0.05592201,0.00719079,-0.007269423,0.9983828,-0.02884836,-0.01731161,-0.02108712,0.03970625
1.297844,0.01572483,0.02940534,-0.01549324,-0.05536475,0.006703723,-0.006566195,0.9984221,-0.007839315,-0.02029175,-0.0009205192,0.02177286
1.31402,0.01585614,0.02933318,-0.01589662,-0.05334763,0.006261931,-0.006681984,0.998534,0.004005983,-0.0158504,-0.02101393,0.02662458
1.330695,0.01593724,0.02958206,-0.01585221,-0.05274662,0.006171619,-0.007136529,0.9985634,-0.0001820414,0.008202226,-0.00599896,0.01016352
1.347228,0.01605272,0.02961732,-0.01611383,-0.05280817,0.006086494,-0.007528332,0.9985577,0.004452894,0.004181444,-0.01002644,0.01174062
1.363864,0.0161029,0.02997993,-0.01630509,-0.05271233,0.00574005,-0.007810223,0.9985628,0.001458234,0.008567914,-0.01359276,0.01613378
1.380758,0.01633004,0.03005649,-0.01652262,-0.05384257,0.005056864,-0.008363823,0.9985016,0.01116451,0.008718805,-0.006620868,0.01563649
1.397514,0.01655696,0.03010384,-0.01687024,-0.05453645,0.004176705,-0.009136381,0.9984613,0.009953434,0.001156925,-0.01546286,0.01842578
1.413659,0.01692682,0.03021152,-0.01716459,-0.05481092,0.003381146,-0.009938425,0.9984416,0.01885763,0.001003693,-0.01922725,0.02695004
1.430277,0.01740391,0.03029689,-0.0172552,-0.05616531,0.002752151,-0.01104907,0.9983566,0.02198006,0.00729873,-0.007858042,0.02445697
1.447365,0.01787187,0.03006083,-0.01746803,-0.05657678,0.002366242,-0.01228481,0.9983199,0.02677244,-0.006618964,-0.008668218,0.02890868
1.464096,0.01833555,0.02983505,-0.01746425,-0.05732121,0.002074542,-0.01332384,0.9982648,0.02296136,-0.005870736,-0.01452413,0.0277964
1.480616,0.01884256,0.02934228,-0.01780108,-0.05803667,0.001691198,-0.01414219,0.9982128,0.02888686,-0.02324112,-0.009837065,0.03835842
1.497415,0.0193917,0.02905918,-0.01800302,-0.05796099,0.001266341,-0.01511395,0.9982036,0.03035932,-0.01973956,-0.01185546,0.03810368
1.514573,0.02008795,0.02895247,-0.01811858,-0.05816175,0.0008963501,-0.01632512,0.9981733,0.03788828,-0.00737951,-0.01391565,0.04103199
1.530697,0.02060286,0.02864179,-0.01852292,-0.05835379,0.0004987804,-0.01753169,0.9981419,0.0317201,-0.009636814,-0.01150221,0.03509036
1.547598,0.02115004,0.02874549,-0.01894145,-0.05735671,3.194944E-05,-0.01902574,0.9981725,0.03366898,-0.01050519,-0.02518806,0.04334048
1.564175,0.02166373,0.02900408,-0.0192116,-0.05707141,-0.0002943239,-0.02028349,0.9981641,0.03094906,0.01663583,-0.02045402,0.04065663
1.581052,0.02219377,0.02892508,-0.01964945,-0.05671252,-0.0005311015,-0.021236,0.9981645,0.03434687,-0.001514692,-0.02218641,0.04091746
1.597732,0.02261132,0.02887931,-0.02030244,-0.05545392,-0.0006378175,-0.02198228,0.9982191,0.02672632,-0.003366822,-0.03139498,0.04136758
1.614597,0.02318005,0.02899291,-0.02087975,-0.05439762,-0.0004359505,-0.02256183,0.9982643,0.03450371,0.006971407,-0.03441605,0.04922978
1.631977,0.02355529,0.0293014,-0.02156024,-0.05372082,-7.940715E-05,-0.02300214,0.9982911,0.02438796,0.008821693,-0.03630418,0.04461601
1.647606,0.02394125,0.02956447,-0.02220571,-0.05372964,0.00018007,-0.02310406,0.9982882,0.02514506,0.01043351,-0.03168526,0.04177424
1.664234,0.0242062,0.02950527,-0.02279394,-0.05456128,0.0003377874,-0.02267197,0.9982529,0.02061409,0.001859219,-0.03609387,0.04160727
1.68075,0.02461026,0.02929908,-0.02337047,-0.05509948,7.739218E-05,-0.0221152,0.998236,0.02547469,-0.00584809,-0.03457437,0.04334221
1.698439,0.02486355,0.0292841,-0.02377469,-0.05559772,-0.0004691023,-0.02137734,0.9982243,0.01762042,-0.002281174,-0.02681516,0.03216731
1.714605,0.0252939,0.02933632,-0.02385866,-0.05653267,-0.001129668,-0.02076805,0.9981841,0.02549673,0.004939226,-0.01584014,0.03042021
1.731628,0.02549601,0.02927043,-0.02387736,-0.05752028,-0.001787913,-0.02036775,0.998135,0.01499241,-0.00161651,-0.009102694,0.01761376
1.747912,0.02562683,0.02951892,-0.02362409,-0.05812424,-0.002233914,-0.02024954,0.9981015,0.0125727,0.004306262,0.00217589,0.01346667
1.765637,0.02552882,0.02977523,-0.02321148,-0.0587446,-0.002454872,-0.02072229,0.998055,-0.0009225231,0.01470409,0.01192497,0.01895432
1.781553,0.02536728,0.02954136,-0.022701,-0.05806237,-0.002602931,-0.0205652,0.9980977,-0.0006072889,-0.002434094,0.02378861,0.02392053
1.797742,0.02489071,0.02939591,-0.02221766,-0.05632276,-0.002966359,-0.01956604,0.9982165,-0.01878828,-0.005886149,0.02226145,0.02971899
1.814915,0.02436454,0.02927517,-0.02183521,-0.05411776,-0.004111621,-0.01881633,0.9983488,-0.02443185,-0.00350131,0.02151869,0.0327449
1.831153,0.0237531,0.02884501,-0.02158318,-0.05089515,-0.006162507,-0.017933,0.998524,-0.02912307,-0.01737796,0.01806486,0.03842507
1.848689,0.02327757,0.02831415,-0.02127211,-0.04737932,-0.008618635,-0.0174801,0.9986869,-0.02471631,-0.02482483,0.02239325,0.04157675
1.864871,0.02259452,0.02828878,-0.0211148,-0.04346699,-0.01114474,-0.01765576,0.9988367,-0.03369575,-0.009447816,0.009397043,0.03623492
1.880775,0.02162385,0.02822712,-0.02075139,-0.04090944,-0.01364289,-0.01784403,0.9989104,-0.0462956,-0.005584497,0.02161191,0.05139595
1.897432,0.0201062,0.02814388,-0.02059364,-0.03893969,-0.0169094,-0.01698036,0.9989542,-0.07806209,-0.005647693,0.01368723,0.07945393
1.914339,0.01815183,0.02835098,-0.02047791,-0.03775715,-0.02165004,-0.01510106,0.9989383,-0.092876,0.0009225426,0.01427895,0.09397176
1.930732,0.01603162,0.02839206,-0.02055644,-0.03727464,-0.02831276,-0.0134334,0.9988136,-0.1084077,0.001382644,0.004122153,0.1084949
1.947751,0.01416108,0.02844272,-0.02049779,-0.03627457,-0.03622103,-0.01214254,0.9986115,-0.104789,-0.003767099,0.007745086,0.1051423
1.964264,0.01235934,0.02823906,-0.02016515,-0.03586337,-0.04446276,-0.01033642,0.9983135,-0.1078134,-0.002784843,0.01292764,0.1086214
1.981203,0.01043322,0.02758107,-0.01998,-0.03532016,-0.05252709,-0.007420555,0.9979671,-0.1087,-0.02416218,0.01810497,0.1128153
1.997879,0.00839282,0.02718743,-0.01994646,-0.03346743,-0.06093924,-0.004082111,0.9975719,-0.117748,-0.0275455,0.002938961,0.1209628
2.015623,0.006601983,0.02705332,-0.0198416,-0.03150411,-0.06983637,-0.0010642,0.9970604,-0.1122487,-0.01048414,0.006918911,0.1129493
2.031328,0.00494302,0.02683,-0.01980926,-0.02925865,-0.07867491,0.001533389,0.9964697,-0.09969755,-0.01464269,0.002102026,0.100789
2.048197,0.00343799,0.02642601,-0.01957858,-0.02635748,-0.08666339,0.003290975,0.9958835,-0.1063686,-0.01008108,0.009093629,0.1072315
2.06532,0.001919931,0.02590101,-0.01958852,-0.02335188,-0.09398689,0.004187511,0.9952908,-0.097061,-0.02678521,0.001147469,0.1006956
2.081529,0.000469533,0.02553601,-0.01959573,-0.02003406,-0.1008089,0.004088405,0.9946958,-0.09348895,-0.02458842,0.004457607,0.09677109
2.098176,-0.0007817987,0.02548163,-0.01957906,-0.01684197,-0.1070173,0.003273382,0.9941091,-0.08874949,-0.01133307,-0.009720687,0.08999668
2.116612,-0.001745785,0.0257694,-0.01973233,-0.0148262,-0.112625,0.002690714,0.9935233,-0.07039789,0.002758188,0.004303445,0.07058322
2.131929,-0.002535052,0.02595127,-0.01969846,-0.01426371,-0.1174266,0.002279388,0.9929765,-0.05278977,-0.004324669,-0.004827416,0.05318615
2.14781,-0.003065622,0.0256792,-0.01986678,-0.01439032,-0.1209892,0.0008631555,0.9925492,-0.05615933,-0.000631505,-0.002768748,0.05623109
2.164237,-0.003693079,0.02568531,-0.01987027,-0.01385068,-0.123035,-0.001756457,0.9923041,-0.04325379,-0.01565735,-0.01207269,0.04755831
2.18082,-0.004337179,0.02563873,-0.01987386,-0.01330343,-0.1233628,-0.003836206,0.992265,-0.04862168,0.009027158,0.005527192,0.0497605
2.197589,-0.005117277,0.02528673,-0.0199013,-0.01343533,-0.1228011,-0.004155021,0.9923316,-0.04496739,-0.01872991,-0.009309469,0.04959377
2.215008,-0.005860076,0.02531369,-0.0201752,-0.01242187,-0.1221155,-0.003657171,0.9924315,-0.04654068,-0.007521641,-0.009002066,0.04799633
2.231292,-0.006490818,0.02559732,-0.01996937,-0.01199015,-0.1214715,-0.003184687,0.9925174,-0.0365849,0.01490138,-0.01010884,0.04077615
2.248044,-0.006906273,0.02554422,-0.02011205,-0.0120479,-0.120749,-0.002515247,0.9926068,-0.03033406,0.0008639935,0.008897314,0.03162378
2.265719,-0.007338016,0.02568374,-0.01991722,-0.01169038,-0.1199168,-0.002165833,0.9927127,-0.02808738,0.002109625,0.006444286,0.02889429
2.281064,-0.007742869,0.02572533,-0.01998734,-0.01214308,-0.119105,-0.002244648,0.9928049,-0.0230638,0.004470309,0.001151616,0.02352124
2.297382,-0.008198023,0.02562601,-0.01996577,-0.01189703,-0.1183883,-0.002377084,0.9928933,-0.03020056,-0.00751386,-0.000177228,0.03112175
2.314353,-0.008571543,0.02550174,-0.02011377,-0.01135496,-0.1175975,-0.002649654,0.9929929,-0.02301111,0.001444939,-0.006276508,0.02389547
2.330729,-0.008931648,0.02546852,-0.02004411,-0.01106783,-0.1166337,-0.002823034,0.9931093,-0.02229656,-0.00171615,-0.009748119,0.02439483
2.348356,-0.009212221,0.02528092,-0.02034374,-0.01027558,-0.1154419,-0.002408139,0.9932582,-0.01868825,-0.009777839,0.003800483,0.0214313
2.364602,-0.009443475,0.02562166,-0.02034689,-0.009287628,-0.1139493,-0.00200454,0.9934412,-0.0157623,0.008272443,0.00029672,0.01780369
