timestamp,x,y,z,qx,qy,qz,qw,velocity_x,velocity_y,velocity_z,speed
55.74957,-0.8725029,0.003553157,0.3910773,-0.05429905,0.3196763,-0.02221635,0.9457089,-0.1973384,0.04601251,0.7544391,0.7811773
55.76679,-0.8763083,0.003863476,0.4025511,-0.05445096,0.3222659,-0.02089364,0.9448509,-0.2115904,0.02776858,0.6761889,0.709065
55.7836,-0.8801265,0.003647808,0.413971,-0.05168074,0.3243877,-0.01851001,0.94433,-0.2145529,0.006529162,0.6651272,0.6989061
55.80161,-0.8841882,0.004185704,0.4246412,-0.04508838,0.3256961,-0.01489255,0.9442814,-0.2298446,0.01586098,0.6626653,0.7015736
55.81693,-0.8875282,0.00514888,0.435604,-0.04093159,0.3276597,-0.01241868,0.9438271,-0.1931721,0.0513566,0.6057813,0.637906
55.83416,-0.891127,0.006121092,0.4461488,-0.03747159,0.329993,-0.008921337,0.9431973,-0.2368438,0.07057651,0.694285,0.7369584
55.851,-0.8945485,0.007216746,0.4567768,-0.03528768,0.3327787,-0.005350973,0.9423293,-0.2014061,0.04338515,0.6335772,0.6662332
55.86597,-0.8980356,0.008045696,0.4673645,-0.03469024,0.335645,-0.002087486,0.9413473,-0.2114698,0.05147453,0.629666,0.6662195
55.88329,-0.9013998,0.008402565,0.4781253,-0.03602234,0.3390489,0.001192609,0.9400781,-0.2320659,0.03146859,0.7204508,0.7575581
55.90249,-0.9048877,0.008461791,0.4890476,-0.03784288,0.343349,0.003561004,0.9384385,-0.2070704,0.01255176,0.6232148,0.6568351
55.91629,-0.908535,0.008162619,0.4997533,-0.03913033,0.3469852,0.006447476,0.9370318,-0.1770204,-0.003313971,0.5656971,0.5927566
55.93221,-0.9123356,0.007717516,0.5107466,-0.03972571,0.3505272,0.009599008,0.9356605,-0.2792482,-0.01885526,0.7819279,0.8305097
55.95082,-0.9159925,0.007282243,0.5217696,-0.04162164,0.3536847,0.01349805,0.9343408,-0.2329249,-0.01822433,0.6906167,0.7290662
55.96692,-0.9198765,0.006053898,0.5326864,-0.04391669,0.3566712,0.01732494,0.9330364,-0.196541,-0.03758438,0.5857515,0.6189877
55.9833,-0.9238996,0.00502199,0.5439755,-0.04378342,0.3595548,0.01939799,0.9318944,-0.2555085,-0.06074319,0.6941113,0.7421353
55.99988,-0.9277701,0.004490108,0.5549365,-0.04473001,0.3623779,0.02210857,0.9306948,-0.2265762,-0.0349284,0.6664752,0.704802
56.01492,-0.9318267,0.003223976,0.5661575,-0.04666416,0.3652508,0.0259919,0.9293755,-0.242681,-0.05629438,0.6703218,0.7151185
56.03265,-0.9359714,0.002064942,0.5772647,-0.04720638,0.3677441,0.02969728,0.9282532,-0.2704913,-0.08018682,0.7347875,0.7870884
56.04884,-0.9401067,0.001253576,0.5882668,-0.04702104,0.3705177,0.03243142,0.9270673,-0.2311268,-0.05004937,0.6255295,0.6687389
56.0655,-0.9437452,0.000644338,0.5995033,-0.04800151,0.3742044,0.03505329,0.9254395,-0.23906,-0.04020704,0.6852177,0.7268353
56.08286,-0.9478405,-0.0002572573,0.6104541,-0.04843313,0.3785416,0.03693113,0.9235781,-0.2387056,-0.06035992,0.6630766,0.7073148
56.09914,-0.9522526,-0.0004451621,0.6215163,-0.04871048,0.3836191,0.03730337,0.9214512,-0.2450895,-0.02465986,0.638801,0.6846486
56.11645,-0.9567914,-0.001076157,0.6327824,-0.0503054,0.3892354,0.03801996,0.9189776,-0.2714789,-0.03256042,0.6857834,0.7382817
56.13305,-0.9616208,-0.001544769,0.6441717,-0.05089009,0.3949975,0.03813433,0.9164786,-0.2729305,-0.03336305,0.6494234,0.7052339
56.15041,-0.9667712,-0.002213522,0.6556134,-0.05104649,0.400842,0.03805783,0.913932,-0.2971065,-0.04125915,0.6822176,0.7452486
56.17068,-0.9725428,-0.002840909,0.6670902,-0.05060844,0.406425,0.03803145,0.9114884,-0.3206282,-0.03797558,0.6565475,0.7316414
56.19696,-0.9789518,-0.003702586,0.6787709,-0.0498869,0.4114068,0.03805939,0.9092894,-0.2800388,-0.03686483,0.5728116,0.6386657
56.20228,-0.9842235,-0.004738309,0.6905724,-0.04959165,0.4162433,0.0384497,0.9070854,-0.2015432,-0.02346398,0.4431173,0.4873635
56.22215,-0.9907357,-0.005647772,0.7021254,-0.04760743,0.4201825,0.03711158,0.9054298,-1.141018,-0.2172087,2.175493,2.466145
56.23218,-0.9966061,-0.006387141,0.7140159,-0.04672173,0.4245274,0.03642503,0.9034749,-0.2935728,-0.04172014,0.592886,0.6629022
56.24909,-1.003108,-0.002921399,0.7255511,-0.04269113,0.4289804,0.03076556,0.9017798,-0.616932,0.02758136,1.149752,1.305103
56.2775,-1.008505,0.003722223,0.7386715,-0.05624925,0.4360757,0.02653541,0.8977582,-0.3766587,0.4281431,0.7263188,0.9234269
56.28554,-1.014499,0.0007087552,0.7509586,-0.06846458,0.4408412,0.03384974,0.8943298,-0.1799108,-0.01425443,0.4516363,0.4863604
56.303,-1.022799,-0.004087935,0.7612788,-0.05534858,0.4446781,0.03158188,0.8934207,-0.9684266,-0.5630312,1.348728,1.75326
56.31555,-1.029341,-7.881457E-05,0.7728782,-0.04378907,0.4474438,0.02373204,0.8929241,-0.3820273,0.05695487,0.653792,0.7593634
56.3315,-1.034634,0.007856887,0.7842556,-0.05304923,0.4506107,0.02107674,0.8908937,-0.4623109,0.5347961,0.9225656,1.162267
56.34862,-1.039995,0.005795753,0.7956493,-0.05912564,0.4551272,0.02329525,0.8881559,-0.3455824,0.01550544,0.7183605,0.7973139
56.36518,-1.046936,0.006020896,0.8060985,-0.05168411,0.4592187,0.02032997,0.8865854,-0.3879752,-0.0001740795,0.6342634,0.7435152
56.38189,-1.05254,0.008536573,0.8168311,-0.04925421,0.4621138,0.02052022,0.885214,-0.3612658,0.1121114,0.6533681,0.7549648
56.39928,-1.057778,0.009217423,0.8269237,-0.04920943,0.4651729,0.02288169,0.8835548,-0.325123,0.09076259,0.6270015,0.7120911
56.41592,-1.062368,0.009785099,0.8370499,-0.0459425,0.4686404,0.0237905,0.8818728,-0.2916217,0.0312227,0.5897203,0.658626
56.43326,-1.066995,0.01140639,0.8469716,-0.04512936,0.4723757,0.02351709,0.879927,-0.2899533,0.08750654,0.6061133,0.6775719
56.44965,-1.071156,0.01160506,0.8572508,-0.04681598,0.4764463,0.02382466,0.877633,-0.2550368,0.04753437,0.6021388,0.6556481
56.46629,-1.074987,0.01177224,0.8673466,-0.04710698,0.4804352,0.02383856,0.8754398,-0.2612772,0.004967208,0.6150426,0.6682573
56.48242,-1.078625,0.01163193,0.87761,-0.04666179,0.4842694,0.02444164,0.8733318,-0.242045,0.01354255,0.6236282,0.6690899
56.49858,-1.081692,0.01200894,0.8872275,-0.04600319,0.4878085,0.02540761,0.8713675,-0.210694,0.0158756,0.5987611,0.634948
56.51502,-1.084455,0.01264278,0.8971345,-0.04414568,0.4913964,0.02576869,0.8694347,-0.1915836,0.03323627,0.6200138,0.6497892
